perhaps it's time for me to say a little about my reading habits . 	Translation	Positive	Negative	EmotionRationale
i really do like to read , and i've enjoyed many books in my lifetime . 	i really do like to read , and i've enjoyed many books in my lifetime .	3	-1	 i[0] really[0] do[0] like[1] to[0] read[0] and[0] i've[0] enjoyed[2] many[0] books[0] in[0] my[0] lifetime[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
my problem is that i'm a slow reader , and not very dedicated -- i'll enjoy portions of a book and then set it down for months at a time ( it's taken me the last six weeks to get through the first one hundred pages of anna karenina , even though i'm loving the book ) . 	my problem is that i'm a slow reader , and not very dedicated - i'll enjoy portions of a book and then set it down for months at a time ( it's taken me the last six weeks to get through the first one hundred pages of anna karenina , even though i'm loving the book ) .	4	-2	 my[0] problem[-1] is[0] that[0] i'm[0] a[0] slow[0] reader[0] and[0] not[0] very[0] dedicated[0] i'll[0] enjoy[2] portions[0] of[0] a[0] book[0] and[0] then[0] set[0] it[0] down[0] for[0] months[0] at[0] a[0] time[0] it's[0] taken[0] me[0] the[0] last[0] six[0] weeks[0] to[0] get[0] through[0] the[0] first[0] one[0] hundred[0] pages[0] of[0] anna[0] karenina[0] even[0] though[0] i'm[0] loving[3] the[0] book[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in addition to this , i typically don't read anything created after the 19th century . 	in addition to this , i typically don't read anything created after the 19th century .	1	-1	 in[0] addition[0] to[0] this[0] i[0] typically[0] don't[0] read[0] anything[0] created[0] after[0] the[0] 19th[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only reason i bother with this bit of information is because i feel bad admitting , time after time , that i haven't read any of the books on which these films are based ( the only exception , i believe , is great expectations ) . 	the only reason i bother with this bit of information is because i feel bad admitting , time after time , that i haven't read any of the books on which these films are based ( the only exception , i believe , is great expectations ) .	3	-2	 the[0] only[0] reason[0] i[0] bother[-1] with[0] this[0] bit[0] of[0] information[0] is[0] because[0] i[0] feel[0] bad[-1] admitting[0] time[0] after[0] time[0] that[0] i[0] haven't[0] read[0] any[0] of[0] the[0] books[0] on[0] which[0] these[0] films[0] are[0] based[0] the[0] only[0] exception[0] i[0] believe[0] is[0] great[2] expectations[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , i don't think it should be necessary to read the book beforehand in order to judge the quality of the film . 	however , i don't think it should be necessary to read the book beforehand in order to judge the quality of the film .	1	-1	 however[0] i[0] don't[0] think[0] it[0] should[0] be[0] necessary[0] to[0] read[0] the[0] book[0] beforehand[0] in[0] order[0] to[0] judge[0] the[0] quality[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
needless to say , i haven't read the elmore leonard novel out of sight , on which steven soderbergh's new film is based . 	needless to say , i haven't read the elmore leonard novel out of sight , on which steven soderbergh's new film is based .	1	-1	 needless[0] to[0] say[0] i[0] haven't[0] read[0] the[0] elmore[0] leonard[0] novel[0] out[0] of[0] sight[0] on[0] which[0] steven[0] soderbergh's[0] new[0] film[0] is[0] based[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can't say how faithful of an adaptation it is , or if it lives up to leonard's vision . 	i can't say how faithful of an adaptation it is , or if it lives up to leonard's vision .	2	-1	 i[0] can't[0] say[0] how[0] faithful[1] of[0] an[0] adaptation[0] it[0] is[0] or[0] if[0] it[0] lives[0] up[0] to[0] leonard's[0] vision[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can say that it's a terrific film , with sharp acting , great dialogue , and pumping full of energy and style injected by soderbergh . 	i can say that it's a terrific film , with sharp acting , great dialogue , and pumping full of energy and style injected by soderbergh .	4	-1	 i[0] can[0] say[0] that[0] it's[0] a[0] terrific[3] film[0] with[0] sharp[0] acting[0] great[2] dialogue[0] and[0] pumping[0] full[0] of[0] energy[0] and[0] style[0] injected[0] by[0] soderbergh[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it's certainly a nice distraction from 1998's lineup of brainless blockbusters , all hopelessly wishing that size mattered . 	it's certainly a nice distraction from 1998's lineup of brainless blockbusters , all hopelessly wishing that size mattered .	2	-4	 it's[0] certainly[0] a[0] nice[1] distraction[-1] from[0] 1998's[0] lineup[0] of[0] brainless[0] blockbusters[-1] all[0] hopelessly[-3] wishing[0] that[0] size[0] mattered[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
out of sight proves that it doesn't . 	out of sight proves that it doesn't .	1	-1	 out[0] of[0] sight[0] proves[0] that[0] it[0] doesn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
