while alex browning ( devon sawa ) waits at jfk to leave for a school trip to paris , bad omens seem to surround him . 	Translation	Positive	Negative	EmotionRationale
as soon as he buckles into the plane , he has a vision of the plane exploding seconds after take-off . 	as soon as he buckles into the plane , he has a vision of the plane exploding seconds after take-off .	1	-1	 as[0] soon[0] as[0] he[0] buckles[0] into[0] the[0] plane[0] he[0] has[0] a[0] vision[0] of[0] the[0] plane[0] exploding[0] seconds[0] after[0] take[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the vision begins to come true , alex bolts for the door , dragging several students and a teacher in his wake . 	when the vision begins to come true , alex bolts for the door , dragging several students and a teacher in his wake .	2	-2	 when[0] the[0] vision[0] begins[0] to[0] come[0] true[1] alex[0] bolts[-1] for[0] the[0] door[0] dragging[0] several[0] students[0] and[0] a[0] teacher[0] in[0] his[0] wake[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plane takes off without them and explodes just as alex predicted . 	the plane takes off without them and explodes just as alex predicted .	1	-2	 the[0] plane[0] takes[0] off[0] without[0] them[0] and[0] explodes[-1] just[0] as[0] alex[0] predicted[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he becomes an object of fear and suspicion among the community , and the tension only increases as the survivors begin to die . 	he becomes an object of fear and suspicion among the community , and the tension only increases as the survivors begin to die .	1	-4	 he[0] becomes[0] an[0] object[0] of[0] fear[-3] and[0] suspicion[-1] among[0] the[0] community[0] and[0] the[0] tension[-2] only[0] increases[0] as[0] the[0] survivors[0] begin[0] to[0] die[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
alex and another survivor , clear rivers ( ali larter ) , investigate the suspicious " suicide " of a friend , and a mortician ( tony " candyman " todd ) clues them in to the truth : alex interrupted death's design by saving people who should have died in the explosion , and death will want to claim its rightful victims . 	alex and another survivor , clear rivers ( ali larter ) , investigate the suspicious " suicide " of a friend , and a mortician ( tony " candyman " todd ) clues them in to the truth : alex interrupted death's design by saving people who should have died in the explosion , and death will want to claim its rightful victims .	2	-4	 alex[0] and[0] another[0] survivor[0] clear[0] rivers[0] ali[0] larter[0] investigate[0] the[0] suspicious[-1] suicide[-3] of[0] a[0] friend[1] and[0] a[0] mortician[0] tony[0] candyman[0] todd[0] clues[0] them[0] in[0] to[0] the[0] truth[1] alex[0] interrupted[-1] death's[-2] design[0] by[0] saving[0] people[0] who[0] should[0] have[0] died[0] in[0] the[0] explosion[-1] and[0] death[-2] will[0] want[0] to[0] claim[0] its[0] rightful[0] victims[-2] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in order to save himself and the others , alex will have to figure out death's new plan and thwart it . 	in order to save himself and the others , alex will have to figure out death's new plan and thwart it .	2	-3	 in[0] order[0] to[0] save[1] himself[0] and[0] the[0] others[0] alex[0] will[0] have[0] to[0] figure[0] out[0] death's[-2] new[0] plan[0] and[0] thwart[-1] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
of the countless horror films that have competed for a piece of the " scream " audience , " final destination " is the best so far . 	of the countless horror films that have competed for a piece of the " scream " audience , " final destination " is the best so far .	2	-4	 of[0] the[0] countless[0] horror[-3] films[0] that[0] have[0] competed[0] for[0] a[0] piece[0] of[0] the[0] scream[-3] audience[0] final[0] destination[0] is[0] the[0] best[1] so[0] far[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
talented young screenwriter jeffrey reddick offers a fresh variation on a familiar formula . 	talented young screenwriter jeffrey reddick offers a fresh variation on a familiar formula .	2	-1	 talented[1] young[0] screenwriter[0] jeffrey[0] reddick[0] offers[0] a[0] fresh[0] variation[0] on[0] a[0] familiar[0] formula[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we've seen hundreds of movies where a group of teenagers are murdered one-by-one by a faceless slasher , but reddick cuts out the hockey-masked middle-man and makes the villain death itself . 	we've seen hundreds of movies where a group of teenagers are murdered one-by-one by a faceless slasher , but reddick cuts out the hockey-masked middle-man and makes the villain death itself .	1	-4	 we've[0] seen[0] hundreds[0] of[0] movies[0] where[0] a[0] group[0] of[0] teenagers[0] are[0] murdered[-3] one[0] by[0] one[0] by[0] a[0] faceless[0] slasher[-1] but[0] reddick[0] cuts[0] out[0] the[0] hockey[0] masked[0] middle[0] man[0] and[0] makes[0] the[0] villain[-2] death[-2][-1 MultiplePositiveWords] itself[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
first-time feature director james wong made the most of that premise . 	first-time feature director james wong made the most of that premise .	1	-1	 first[0] time[0] feature[0] director[0] james[0] wong[0] made[0] the[0] most[0] of[0] that[0] premise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every scene is permeated with creepiness and foreboding , reminding us that death is everywhere , can come at anytime . 	every scene is permeated with creepiness and foreboding , reminding us that death is everywhere , can come at anytime .	1	-3	 every[0] scene[0] is[0] permeated[0] with[0] creepiness[0] and[0] foreboding[-1] reminding[0] us[0] that[0] death[-2] is[0] everywhere[0] can[0] come[0] at[0] anytime[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
everyday objects and events vibrate with menace . 	everyday objects and events vibrate with menace .	1	-3	 everyday[0] objects[0] and[0] events[0] vibrate[0] with[0] menace[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
