once again , the battle is dreamworks versus disney : earlier this year , the mammoth companies fought to the death with their end-of-the-world asteroid flicks , deep impact and armageddon . 	Translation	Positive	Negative	EmotionRationale
here we are now , just a few months later , and they're at it again with dueling bug movies , antz and a bug's life . 	here we are now , just a few months later , and they're at it again with dueling bug movies , antz and a bug's life .	1	-2	 here[0] we[0] are[0] now[0] just[0] a[0] few[0] months[0] later[0] and[0] they're[0] at[0] it[0] again[0] with[0] dueling[0] bug[-1] movies[0] antz[0] and[0] a[0] bug's[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what i find so astonishing is that both pairs of movies are so inherently similar in both story and execution . 	what i find so astonishing is that both pairs of movies are so inherently similar in both story and execution .	1	-1	 what[0] i[0] find[0] so[0] astonishing[0] is[0] that[0] both[0] pairs[0] of[0] movies[0] are[0] so[0] inherently[0] similar[0] in[0] both[0] story[0] and[0] execution[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean , come on -- what were the chances of two studios both deciding to bring out computer-animated films about bugs ? 	i mean , come on - what were the chances of two studios both deciding to bring out computer-animated films about bugs ?	1	-1	 i[0] mean[0] come[0] on[0] what[0] were[0] the[0] chances[0] of[0] two[0] studios[0] both[0] deciding[0] to[0] bring[0] out[0] computer[0] animated[0] films[0] about[0] bugs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as was the case with the meteor movies , disney has come out on top : though antz is a likable movie , a bug's life is far superior . 	as was the case with the meteor movies , disney has come out on top : though antz is a likable movie , a bug's life is far superior .	3	-1	 as[0] was[0] the[0] case[0] with[0] the[0] meteor[0] movies[0] disney[0] has[0] come[0] out[0] on[0] top[0] though[0] antz[0] is[0] a[0] likable[0] movie[0] a[0] bug's[0] life[0] is[0] far[0] superior[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact , this movie made me realize what was wrong with antz : i became immersed in the world of a bug's life , while antz just made me scrutinize everything . 	in fact , this movie made me realize what was wrong with antz : i became immersed in the world of a bug's life , while antz just made me scrutinize everything .	1	-2	 in[0] fact[0] this[0] movie[0] made[0] me[0] realize[0] what[0] was[0] wrong[-1] with[0] antz[0] i[0] became[0] immersed[0] in[0] the[0] world[0] of[0] a[0] bug's[0] life[0] while[0] antz[0] just[0] made[0] me[0] scrutinize[-1] everything[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it's not really fair to base an entire review on a comparison . 	but it's not really fair to base an entire review on a comparison .	1	-1	 but[0] it's[0] not[0] really[0] fair[0] to[0] base[0] an[0] entire[0] review[0] on[0] a[0] comparison[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a bug's life is a remarkable film in its own right , and deserves to be seen apart from any other computer-animated film about bugs . 	a bug's life is a remarkable film in its own right , and deserves to be seen apart from any other computer-animated film about bugs .	1	-1	 a[0] bug's[0] life[0] is[0] a[0] remarkable[0] film[0] in[0] its[0] own[0] right[0] and[0] deserves[0] to[0] be[0] seen[0] apart[0] from[0] any[0] other[0] computer[0] animated[0] film[0] about[0] bugs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , it's one of the best films this year : it's smart , subtle , and funny , but it's also perfect family entertainment and relentlessly entertaining . 	in fact , it's one of the best films this year : it's smart , subtle , and funny , but it's also perfect family entertainment and relentlessly entertaining .	2	-1	 in[0] fact[0] it's[0] one[0] of[0] the[0] best[1] films[0] this[0] year[0] it's[0] smart[1] subtle[0] and[0] funny[1] but[0] it's[0] also[0] perfect[1] family[0] entertainment[0] and[0] relentlessly[0] entertaining[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i haven't had such a good time at the movies in months . 	i haven't had such a good time at the movies in months .	2	-1	 i[0] haven't[0] had[0] such[0] a[0] good[1] time[0] at[0] the[0] movies[0] in[0] months[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it tells the story of an ant named flick ( voice by dave foley ) ; he's a nice guy , but he's also a troublemaker . 	it tells the story of an ant named flick ( voice by dave foley ) ; he's a nice guy , but he's also a troublemaker .	2	-2	 it[0] tells[0] the[0] story[0] of[0] an[0] ant[0] named[0] flick[0] voice[0] by[0] dave[0] foley[0] he's[0] a[0] nice[1] guy[0] but[0] he's[0] also[0] a[0] troublemaker[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the ants spend all season putting together the offering , a big pile of food that they provide for the grasshoppers . 	the ants spend all season putting together the offering , a big pile of food that they provide for the grasshoppers .	1	-1	 the[0] ants[0] spend[0] all[0] season[0] putting[0] together[0] the[0] offering[0] a[0] big[0] pile[0] of[0] food[0] that[0] they[0] provide[0] for[0] the[0] grasshoppers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just before the grasshoppers come , flick accidentally knocks over the offering , and ruins everything for the entire colony : the grasshopper's leader , hopper ( kevin spacey ) , is enraged , and tells them that the ants need twice the food by the end of summer , or they're all dead . 	just before the grasshoppers come , flick accidentally knocks over the offering , and ruins everything for the entire colony : the grasshopper's leader , hopper ( kevin spacey ) , is enraged , and tells them that the ants need twice the food by the end of summer , or they're all dead .	1	-4	 just[0] before[0] the[0] grasshoppers[0] come[0] flick[0] accidentally[-1] knocks[0] over[0] the[0] offering[0] and[0] ruins[0] everything[0] for[0] the[0] entire[0] colony[0] the[0] grasshopper's[0] leader[0] hopper[0] kevin[0] spacey[0] is[0] enraged[-3] and[0] tells[0] them[0] that[0] the[0] ants[0] need[0] twice[0] the[0] food[0] by[0] the[0] end[0] of[0] summer[0] or[0] they're[0] all[0] dead[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
flick , feeling responsible for this , sets off to look for help -- he realizes that the only way to be rid of the grasshoppers is to fight them . 	flick , feeling responsible for this , sets off to look for help - he realizes that the only way to be rid of the grasshoppers is to fight them .	1	-3	 flick[0] feeling[0] responsible[0] for[0] this[0] sets[0] off[0] to[0] look[0] for[0] help[0] he[0] realizes[0] that[0] the[0] only[0] way[0] to[0] be[0] rid[-1] of[0] the[0] grasshoppers[0] is[0] to[0] fight[-2] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
