i actually am a fan of the original 1961 or so live-action-disney flick of the same name starring hayley mills twice as a pair of twins , separated at birth by divorcing parents , never to come in contact with the other so the parents never have to meet again . 	Translation	Positive	Negative	EmotionRationale
and everyone should know how i feel about remakes , especially of films i happen to enjoy ( my fallacy : unless you're going to either capture the same exact spirit of the original or do something different with it or maybe even both , just wrack your brain and come up with a * gasp * new idea ) . 	and everyone should know how i feel about remakes , especially of films i happen to enjoy ( my fallacy : unless you're going to either capture the same exact spirit of the original or do something different with it or maybe even both , just wrack your brain and come up with a * gasp * new idea ) .	3	-2	 and[0] everyone[0] should[0] know[0] how[0] i[0] feel[0] about[0] remakes[0] especially[0] of[0] films[0] i[0] happen[0] to[0] enjoy[2] my[0] fallacy[-1] unless[0] you're[0] going[0] to[0] either[0] capture[-1] the[0] same[0] exact[0] spirit[0] of[0] the[0] original[0] or[0] do[0] something[0] different[0] with[0] it[0] or[0] maybe[0] even[0] both[0] just[0] wrack[0] your[0] brain[0] and[0] come[0] up[0] with[0] a[0] gasp[0] new[0] idea[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this remake was not originally on the top of my viewing list , and was actually quite the opposite . 	this remake was not originally on the top of my viewing list , and was actually quite the opposite .	1	-1	 this[0] remake[0] was[0] not[0] originally[0] on[0] the[0] top[0] of[0] my[0] viewing[0] list[0] and[0] was[0] actually[0] quite[0] the[0] opposite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
contemporary live-action-disney films are not one of my favorties , anyway : they're usually unfunny , alienating , and a big fat bore , at least to anyone over the age of 11 and above the iq of 10 . 	contemporary live-action-disney films are not one of my favorties , anyway : they're usually unfunny , alienating , and a big fat bore , at least to anyone over the age of 11 and above the iq of 10 .	2	-2	 contemporary[0] live[0] action[0] disney[0] films[0] are[0] not[0] one[0] of[0] my[0] favorties[1] anyway[0] they're[0] usually[0] unfunny[0] alienating[-1] and[0] a[0] big[0] fat[-1] bore[-1] at[0] least[0] to[0] anyone[0] over[0] the[0] age[0] of[0] 11[0] and[0] above[0] the[0] iq[0] of[0] 10[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this one , however , is shockingly not bad . 	this one , however , is shockingly not bad .	2	-3	 this[0] one[0] however[0] is[0] shockingly[-2] not[0] bad[-1][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in fact , it's actually good . 	in fact , it's actually good .	2	-1	 in[0] fact[0] it's[0] actually[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not the original good , but what's great about it is that it doesn't necessarily retread the original or capture the same exact spirit as it does become entertaining for the same exact reasons the original was entertaining . 	not the original good , but what's great about it is that it doesn't necessarily retread the original or capture the same exact spirit as it does become entertaining for the same exact reasons the original was entertaining .	3	-2	 not[0] the[0] original[0] good[1] but[0] what's[0] great[2] about[0] it[0] is[0] that[0] it[0] doesn't[0] necessarily[0] retread[0] the[0] original[0] or[0] capture[-1] the[0] same[0] exact[0] spirit[0] as[0] it[0] does[0] become[0] entertaining[0] for[0] the[0] same[0] exact[0] reasons[0] the[0] original[0] was[0] entertaining[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
because it's cute and innocent fun . 	because it's cute and innocent fun .	2	-1	 because[0] it's[0] cute[1] and[0] innocent[1] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
because it has a pretty killer plot that is endlessly fun to follow along with . 	because it has a pretty killer plot that is endlessly fun to follow along with .	3	-2	 because[0] it[0] has[0] a[0] pretty[2] killer[-1] plot[0] that[0] is[0] endlessly[0] fun[1] to[0] follow[0] along[0] with[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
because the lead star is immensely appealing . 	because the lead star is immensely appealing .	1	-1	 because[0] the[0] lead[0] star[0] is[0] immensely[0] appealing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because the parents are also immensely appealing . 	because the parents are also immensely appealing .	1	-1	 because[0] the[0] parents[0] are[0] also[0] immensely[0] appealing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
