since 1990 , the dramatic picture has undergone a certain change of style . 	Translation	Positive	Negative	EmotionRationale
now , instead of emphasizing feel-good stories replete with characters of noble virtues , the screenplays and direction point toward human struggle and sorrow . 	now , instead of emphasizing feel-good stories replete with characters of noble virtues , the screenplays and direction point toward human struggle and sorrow .	3	-3	 now[0] instead[0] of[0] emphasizing[0] feel[0] good[1] stories[0] replete[0] with[0] characters[0] of[0] noble[0] virtues[2] the[0] screenplays[0] and[0] direction[0] point[0] toward[0] human[0] struggle[-1] and[0] sorrow[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this realist tendancy can be inspiring at times , as 1993's schindler's list shows . 	this realist tendancy can be inspiring at times , as 1993's schindler's list shows .	3	-1	 this[0] realist[0] tendancy[0] can[0] be[0] inspiring[2] at[0] times[0] as[0] 1993's[0] schindler's[0] list[0] shows[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
most of today's mainstream drama , however , creates an overabundance of emoting that can turn off members of the audience . 	most of today's mainstream drama , however , creates an overabundance of emoting that can turn off members of the audience .	1	-1	 most[0] of[0] today's[0] mainstream[0] drama[0] however[0] creates[0] an[0] overabundance[0] of[0] emoting[0] that[0] can[0] turn[0] off[0] members[0] of[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's why pictures like october sky , which are a throwback to the good ol' dramas of yesteryear , are such a welcome relief in contemporary cinema . 	that's why pictures like october sky , which are a throwback to the good ol' dramas of yesteryear , are such a welcome relief in contemporary cinema .	2	-1	 that's[0] why[0] pictures[0] like[1] october[0] sky[0] which[0] are[0] a[0] throwback[0] to[0] the[0] good[1] ol'[0] dramas[0] of[0] yesteryear[0] are[0] such[0] a[0] welcome[1] relief[1] in[0] contemporary[0] cinema[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie is based on the true story of homer hickam ( jake gyllenhaal ) , a teenager in the 1950's company town of coalwood , west virginia . 	the movie is based on the true story of homer hickam ( jake gyllenhal ) , a teenager in the 1950's company town of coalwood , west virginia .	2	-1	 the[0] movie[0] is[0] based[0] on[0] the[0] true[1] story[0] of[0] homer[0] hickam[0] jake[0] gyllenhaal/gyllenhal[0] a[0] teenager[0] in[0] the[0] 1950's[0] company[0] town[0] of[0] coalwood[0] west[0] virginia[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a well-known fact that the only boys to make a name for themselves are the ones that get out of the town on football scholarships ; the rest grow up to work in the coal mine . 	it's a well-known fact that the only boys to make a name for themselves are the ones that get out of the town on football scholarships ; the rest grow up to work in the coal mine .	1	-1	 it's[0] a[0] well[0] known[0] fact[0] that[0] the[0] only[0] boys[0] to[0] make[0] a[0] name[0] for[0] themselves[0] are[0] the[0] ones[0] that[0] get[0] out[0] of[0] the[0] town[0] on[0] football[0] scholarships[0] the[0] rest[0] grow[0] up[0] to[0] work[0] in[0] the[0] coal[0] mine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mine , which is run by homer's father ( chris cooper ) , is not the place for homer , however . 	the mine , which is run by homer's father ( chris cooper ) , is not the place for homer , however .	1	-1	 the[0] mine[0] which[0] is[0] run[0] by[0] homer's[0] father[0] chris[0] cooper[0] is[0] not[0] the[0] place[0] for[0] homer[0] however[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after watching the soviet satellite sputnik shoot across the october sky in 1957 , homer feels a connection with the outside world -- as he puts it , " anyone in the world could look up and see the same thing i did . " 	after watching the soviet satellite sputnik shoot across the october sky in 1957 , homer feels a connection with the outside world - as he puts it , " anyone in the world could look up and see the same thing i did .<br> "	1	-2	 after[0] watching[0] the[0] soviet[0] satellite[0] sputnik[0] shoot[-1] across[0] the[0] october[0] sky[0] in[0] 1957[0] homer[0] feels[0] a[0] connection[0] with[0] the[0] outside[0] world[0] as[0] he[0] puts[0] it[0] anyone[0] in[0] the[0] world[0] could[0] look[0] up[0] and[0] see[0] the[0] same[0] thing[0] i[0] did[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
drafting two of his best friends and the brainiac outcast , homer begins to construct rockets . 	drafting two of his best friends and the brainiac outcast , homer begins to construct rockets .	2	-2	 drafting[0] two[0] of[0] his[0] best[1] friends[1] and[0] the[0] brainiac[0] outcast[-1] homer[0] begins[0] to[0] construct[0] rockets[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with the help of their history teacher , miss riley ( laura dern ) , and several mine workers , the four are soon bound for great things . 	with the help of their history teacher , miss riley ( laura dern ) , and several mine workers , the four are soon bound for great things .	3	-2	 with[0] the[0] help[0] of[0] their[0] history[0] teacher[0] miss[-1] riley[0] laura[0] dern[0] and[0] several[0] mine[0] workers[0] the[0] four[0] are[0] soon[0] bound[0] for[0] great[2] things[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
