wong kar-wei's " fallen angels " is , on a purely visceral level , one of the most exciting films i've seen in a long while . 	Translation	Positive	Negative	EmotionRationale
unfortunately , wong seems more interested in experimenting with his camera than creating tangible characters for the audience to root for . 	unfortunately , wong seems more interested in experimenting with his camera than creating tangible characters for the audience to root for .	2	-2	 unfortunately[-1] wong[0] seems[0] more[0] interested[1] in[0] experimenting[0] with[0] his[0] camera[0] than[0] creating[0] tangible[0] characters[0] for[0] the[0] audience[0] to[0] root[0] for[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ordinarily , that alone would be enough to sink a movie , but in the case of " fallen angels " , this is not so . 	ordinarily , that alone would be enough to sink a movie , but in the case of " fallen angels " , this is not so .	1	-1	 ordinarily[0] that[0] alone[0] would[0] be[0] enough[0] to[0] sink[0] a[0] movie[0] but[0] in[0] the[0] case[0] of[0] fallen[0] angels[0] this[0] is[0] not[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every shot in this film is exciting just to * look * at . 	every shot in this film is exciting just to * look * at .	3	-2	 every[0] shot[-1] in[0] this[0] film[0] is[0] exciting[2] just[0] to[0] look[0] at[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
wong does really interesting things with the camera , but he doesn't allow the pyrotechnics to completely take over , as was the case with last years dismal " knock off " ( which contained a shot of a foot entering a shoe . 	wong does really interesting things with the camera , but he doesn't allow the pyrotechnics to completely take over , as was the case with last years dismal " knock off " ( which contained a shot of a foot entering a shoe .	3	-2	 wong[0] does[0] really[0] interesting[1][1 LastWordBoosterStrength] things[0] with[0] the[0] camera[0] but[0] he[0] doesn't[0] allow[0] the[0] pyrotechnics[0] to[0] completely[0] take[0] over[0] as[0] was[0] the[0] case[0] with[0] last[0] years[0] dismal[-1] knock[0] off[0] which[0] contained[0] a[0] shot[-1] of[0] a[0] foot[0] entering[0] a[0] shoe[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ugh . ) 	ugh .<br> )	1	-3	 ugh[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie follows three pairs of lost souls as they struggle to find some meaning in their lives . 	the movie follows three pairs of lost souls as they struggle to find some meaning in their lives .	1	-2	 the[0] movie[0] follows[0] three[0] pairs[0] of[0] lost[0] souls[0] as[0] they[0] struggle[-1] to[0] find[0] some[0] meaning[0] in[0] their[0] lives[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can't say much more than that as i didn't really know what was going on most of the time . 	i can't say much more than that as i didn't really know what was going on most of the time .	1	-1	 i[0] can't[0] say[0] much[0] more[0] than[0] that[0] as[0] i[0] didn't[0] really[0] know[0] what[0] was[0] going[0] on[0] most[0] of[0] the[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , it wasn't until about halfway through the movie that i was able to distinguish between each character . 	in fact , it wasn't until about halfway through the movie that i was able to distinguish between each character .	1	-1	 in[0] fact[0] it[0] wasn't[0] until[0] about[0] halfway[0] through[0] the[0] movie[0] that[0] i[0] was[0] able[0] to[0] distinguish[0] between[0] each[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the constantly moving camera doesn't really allow for the audience to associate with any one character . 	the constantly moving camera doesn't really allow for the audience to associate with any one character .	1	-1	 the[0] constantly[0] moving[0] camera[0] doesn't[0] really[0] allow[0] for[0] the[0] audience[0] to[0] associate[0] with[0] any[0] one[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're always kept at a distance from these people , i suppose in order to further add to the feeling of alienation felt by the characters . 	we're always kept at a distance from these people , i suppose in order to further add to the feeling of alienation felt by the characters .	1	-2	 we're[0] always[0] kept[0] at[0] a[0] distance[0] from[0] these[0] people[0] i[0] suppose[0] in[0] order[0] to[0] further[0] add[0] to[0] the[0] feeling[0] of[0] alienation[-1] felt[0] by[0] the[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " fallen angels " is a refreshing change-of-pace from most hollywood films , which never bother to try anything different , at least on a visual level . 	 " fallen angels " is a refreshing change-of-pace from most hollywood films , which never bother to try anything different , at least on a visual level .	2	-1	 fallen[0] angels[0] is[0] a[0] refreshing[0] change[0] of[0] pace[0] from[0] most[0] hollywood[0] films[0] which[0] never[0] bother[-1][NegatedDueToPreviousWord] to[0] try[0] anything[0] different[0] at[0] least[0] on[0] a[0] visual[0] level[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , i'd go so far as to say that " fallen angels " is more challenging visually than any mainstream hollywood film i've ever seen . 	in fact , i'd go so far as to say that " fallen angels " is more challenging visually than any mainstream hollywood film i've ever seen .	1	-1	 in[0] fact[0] i'd[0] go[0] so[0] far[0] as[0] to[0] say[0] that[0] fallen[0] angels[0] is[0] more[0] challenging[0] visually[0] than[0] any[0] mainstream[0] hollywood[0] film[0] i've[0] ever[0] seen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , there's directors like robert rodriguez who enjoy turning violence into operatic orgies of death , but to see a filmmaker like wong who actually assaults the senses with images is truly something worth celebrating . 	sure , there's directors like robert rodriguez who enjoy turning violence into operatic orgies of death , but to see a filmmaker like wong who actually assaults the senses with images is truly something worth celebrating .	3	-4	 sure[0] there's[0] directors[0] like[1] robert[0] rodriguez[0] who[0] enjoy[2] turning[0] violence[-3] into[0] operatic[0] orgies[0] of[0] death[-2] but[0] to[0] see[0] a[0] filmmaker[0] like[1] wong[0] who[0] actually[0] assaults[-2] the[0] senses[0] with[0] images[0] is[0] truly[1] something[0] worth[0] celebrating[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but if wong wishes to become a legendary filmmaker , he needs to work on incorporating an actual story into those awesome images . 	but if wong wishes to become a legendary filmmaker , he needs to work on incorporating an actual story into those awesome images .	3	-1	 but[0] if[0] wong[0] wishes[0] to[0] become[0] a[0] legendary[0] filmmaker[0] he[0] needs[0] to[0] work[0] on[0] incorporating[0] an[0] actual[0] story[0] into[0] those[0] awesome[2] images[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there were far too many instances during " fallen angels " in which i asked myself , " now who are these people again ? 	there were far too many instances during " fallen angels " in which i asked myself , " now who are these people again ?	1	-1	 there[0] were[0] far[0] too[0] many[0] instances[0] during[0] fallen[0] angels[0] in[0] which[0] i[0] asked[0] myself[0] now[0] who[0] are[0] these[0] people[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is this that first couple or the second couple ? " 	is this that first couple or the second couple ?<br> "	1	-1	 is[0] this[0] that[0] first[0] couple[0] or[0] the[0] second[0] couple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was impossible to keep track . 	it was impossible to keep track .	1	-1	 it[0] was[0] impossible[0] to[0] keep[0] track[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps he could let the audience know right away which character is which , by introducing them to us with " name cards " , as in scorsese's " mean streets " . 	perhaps he could let the audience know right away which character is which , by introducing them to us with " name cards " , as in scorsese's " mean streets " .	1	-1	 perhaps[0] he[0] could[0] let[0] the[0] audience[0] know[0] right[0] away[0] which[0] character[0] is[0] which[0] by[0] introducing[0] them[0] to[0] us[0] with[0] name[0] cards[0] as[0] in[0] scorsese's[0] mean[0] streets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's really besides the point , though . 	that's really besides the point , though .	1	-1	 that's[0] really[0] besides[0] the[0] point[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wong kar-wei has proven himself , through very few films , that's he's a movie-maker to watch . 	wong kar-wei has proven himself , through very few films , that's he's a movie-maker to watch .	1	-1	 wong[0] kar[0] wei[0] has[0] proven[0] himself[0] through[0] very[0] few[0] films[0] that's[0] he's[0] a[0] movie[0] maker[0] to[0] watch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
