apollo 13 is simply one of the most dramatic film this summer ( apart from swashbuckling braveheart ) . 	Translation	Positive	Negative	EmotionRationale
director ( and former actor ) ron howard ( splash , backdraft , far & away ) , most noted for his dramatic film making , displays again his brilliance in creating drama and suspense in apollo 13 . 	director ( and former actor ) ron howard ( splash , backdraft , far & away ) , most noted for his dramatic film making , displays again his brilliance in creating drama and suspense in apollo 13 .	2	-1	 director[0] and[0] former[0] actor[0] ron[0] howard[0] splash[0] backdraft[0] far[0] &[0] away[0] most[0] noted[0] for[0] his[0] dramatic[0] film[0] making[0] displays[0] again[0] his[0] brilliance[1] in[0] creating[0] drama[0] and[0] suspense[0] in[0] apollo[0] 13[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
being the second largest box office hit in the us this summer ( with more than us 150 million in the states alone ) , this film is his most successful effort yet . 	being the second largest box office hit in the us this summer ( with more than us 150 million in the states alone ) , this film is his most successful effort yet .	3	-1	 being[0] the[0] second[0] largest[0] box[0] office[0] hit[0] in[0] the[0] us[0] this[0] summer[0] with[0] more[0] than[0] us[0] 150[0] million[0] in[0] the[0] states[0] alone[0] this[0] film[0] is[0] his[0] most[0] successful[2] effort[0] yet[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
perhaps one of the most appealing feature of this film is the pool of talented actors such as tom hanks ( gump himself ) , kevin bacon ( footloose , tremors , a few good men etc . ) , gary sinise ( forrest gump ) , bill paxton ( aliens , true lies , boxing helena ) and ed harris ( the abyss , just cause ) . . 	perhaps one of the most appealing feature of this film is the pool of talented actors such as tom hanks ( gump himself ) , kevin bacon ( footloose , tremors , a few good men etc .<br> ) , gary sinise ( forest gump ) , bill paxton ( aliens , true lies , boxing helena ) and ed harris ( the abyss , just cause ) .<br> .	2	-3	 perhaps[0] one[0] of[0] the[0] most[0] appealing[0] feature[0] of[0] this[0] film[0] is[0] the[0] pool[0] of[0] talented[1] actors[0] such[0] as[0] tom[0] hanks[0] gump[0] himself[0] kevin[0] bacon[0] footloose[0] tremors[0] a[0] few[0] good[1] men[0] etc[0] [[Sentence=-1,2=word max, 1-5]] gary[0] sinise[0] forrest/forest[0] gump[0] bill[0] paxton[0] aliens[0] true[1] lies[-2] boxing[0] helena[0] and[0] ed[0] harris[0] the[0] abyss[-1] just[0] cause[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
all of whom gave good performances in their respective roles . 	all of whom gave good performances in their respective roles .	3	-1	 all[0] of[0] whom[0] gave[0] good[1] performances[0] in[0] their[0] respective[2] roles[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
apollo 13 was the second worst accident ever to occur in the history of us spaceflight ( the worst being the challenger accident ) . 	apollo 13 was the second worst accident ever to occur in the history of us spaceflight ( the worst being the challenger accident ) .	1	-3	 apollo[0] 13[0] was[0] the[0] second[0] worst[-2] accident[-1] ever[0] to[0] occur[0] in[0] the[0] history[0] of[0] us[0] spaceflight[0] the[0] worst[-2] being[0] the[0] challenger[-1] accident[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jim lovell ( hanks ) , the mission commander , together with his crew , fred haise ( paxton ) and last minute replacement tom swigert ( bacon ) are put to the ultimate test when part of their command module explodes on the third day of the mission , more than three quarters way to the moon . 	jim lovell ( hanks ) , the mission commander , together with his crew , fred haise ( paxton ) and last minute replacement tom swigert ( bacon ) are put to the ultimate test when part of their command module explodes on the third day of the mission , more than three quarters way to the moon .	1	-2	 jim[0] lovell[0] hanks[0] the[0] mission[0] commander[0] together[0] with[0] his[0] crew[0] fred[0] haise[0] paxton[0] and[0] last[0] minute[0] replacement[0] tom[0] swigert[0] bacon[0] are[0] put[0] to[0] the[0] ultimate[0] test[0] when[0] part[0] of[0] their[0] command[0] module[0] explodes[-1] on[0] the[0] third[0] day[0] of[0] the[0] mission[0] more[0] than[0] three[0] quarters[0] way[0] to[0] the[0] moon[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
suspense and drama ensue as the three men are left in space with their spaceship out of control and the problem of surviving the journey home . . . 	suspense and drama ensue as the three men are left in space with their spaceship out of control and the problem of surviving the journey home .<br> .<br> .	1	-2	 suspense[0] and[0] drama[0] ensue[0] as[0] the[0] three[0] men[0] are[0] left[0] in[0] space[0] with[0] their[0] spaceship[0] out[0] of[0] control[0] and[0] the[0] problem[-1] of[0] surviving[0] the[0] journey[0] home[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if they ever reach it . 	if they ever reach it .	1	-1	 if[0] they[0] ever[0] reach[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ed harris and gary sinise who play , respectively , the man in charge of the entire mission control and the astronaut who was supposed to fly but was diagnosed with measles , both delve into their roles superbly . 	ed harris and gary sinise who play , respectively , the man in charge of the entire mission control and the astronaut who was supposed to fly but was diagnosed with measles , both delve into their roles superbly .	3	-2	 ed[0] harris[0] and[0] gary[0] sinise[0] who[0] play[0] respectively[2] the[0] man[0] in[0] charge[-1] of[0] the[0] entire[0] mission[0] control[0] and[0] the[0] astronaut[0] who[0] was[0] supposed[0] to[0] fly[0] but[0] was[0] diagnosed[0] with[0] measles[0] both[0] delve[0] into[0] their[0] roles[0] superbly[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
audiences are shown the chaotic and worrisome state of the entire ground control crew , as they frantically attempt to come up with ideas on how to save the astronauts from hurtling into space . 	audiences are shown the chaotic and worrisome state of the entire ground control crew , as they frantically attempt to come up with ideas on how to save the astronauts from hurtling into space .	2	-4	 audiences[0] are[0] shown[0] the[0] chaotic[-1] and[0] worrisome[-3] state[0] of[0] the[0] entire[0] ground[0] control[0] crew[0] as[0] they[0] frantically[-1] attempt[0] to[0] come[0] up[0] with[0] ideas[0] on[0] how[0] to[0] save[1] the[0] astronauts[0] from[0] hurtling[0] into[0] space[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
also , there are quite a number of real news footages which were broadcast during the accident which took the entire us nation into 5 days of drama in 1970 . 	also , there are quite a number of real news footages which were broadcast during the accident which took the entire us nation into 5 days of drama in 1970 .	1	-2	 also[0] there[0] are[0] quite[0] a[0] number[0] of[0] real[0] news[0] footages[0] which[0] were[0] broadcast[0] during[0] the[0] accident[-1] which[0] took[0] the[0] entire[0] us[0] nation[0] into[0] 5[0] days[0] of[0] drama[0] in[0] 1970[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the special effects by digital domain are up to standard and the music suits the suspense and drama very well , thanks to film-music maestro james horner . 	the special effects by digital domain are up to standard and the music suits the suspense and drama very well , thanks to film-music maestro james horner .	2	-1	 the[0] special[1] effects[0] by[0] digital[0] domain[0] are[0] up[0] to[0] standard[0] and[0] the[0] music[0] suits[0] the[0] suspense[0] and[0] drama[0] very[0] well[0] thanks[1] to[0] film[0] music[0] maestro[0] james[0] horner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
watch out for the launching sequence , it is simply one of the most breathtaking scenes of the film . 	watch out for the launching sequence , it is simply one of the most breathtaking scenes of the film .	1	-1	 watch[0] out[0] for[0] the[0] launching[0] sequence[0] it[0] is[0] simply[0] one[0] of[0] the[0] most[0] breathtaking[0] scenes[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a bad point though : apollo 13 features much technical jargon and many physics concepts in its script . 	a bad point though : apollo 13 features much technical jargon and many physics concepts in its script .	1	-2	 a[0] bad[-1] point[0] though[0] apollo[0] 13[0] features[0] much[0] technical[0] jargon[0] and[0] many[0] physics[0] concepts[0] in[0] its[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
those who consider themselves  scientifically illiterate' might have a slight problem understanding what caused this and what caused that during the course of the show . 	those who consider themselves  scientifically illiterate' might have a slight problem understanding what caused this and what caused that during the course of the show .	1	-2	 those[0] who[0] consider[0] themselves[0] scientifically[0] illiterate'[0] might[0] have[0] a[0] slight[0] problem[-1] understanding[0] what[0] caused[0] this[0] and[0] what[0] caused[0] that[0] during[0] the[0] course[0] of[0] the[0] show[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is however , just a minor point , just forget all those technical bullshit and immerse yourselves into the drama and suspense throughout the film . 	this is however , just a minor point , just forget all those technical bullshit and immerse yourselves into the drama and suspense throughout the film .	1	-3	 this[0] is[0] however[0] just[0] a[0] minor[0] point[0] just[0] forget[0] all[0] those[0] technical[0] bullshit[-2] and[0] immerse[0] yourselves[0] into[0] the[0] drama[0] and[0] suspense[0] throughout[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you should enjoy it . 	you should enjoy it .	2	-1	 you[0] should[0] enjoy[2][-1 LastWordBoosterStrength] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
