what do you get when you combine clueless and dumb and dumber ? 	Translation	Positive	Negative	EmotionRationale
to answer the question , you get director david mirkin's new comedy romy and michele's high school reunion . 	to answer the question , you get director david mirkin's new comedy romy and michele's high school reunion .	1	-1	 to[0] answer[0] the[0] question[0] you[0] get[0] director[0] david[0] mirkin's[0] new[0] comedy[0] romy[0] and[0] michele's[0] high[0] school[0] reunion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
romy white ( mira sorvino , mighty aprhodite ) and michele weinberger ( lisa kudrow , tv's friends ) have been inseparable buddies since they graduated from sagebrush high in 1987 . 	romy white ( mira sorvino , mighty aprhodite ) and michele weinberger ( lisa kudrow , tv's friends ) have been inseparable buddies since they graduated from sagebrush high in 1987 .	2	-2	 romy[0] white[0] mira[0] sorvino[0] mighty[0] aprhodite[0] and[0] michele[0] weinberger[0] lisa[0] kudrow[0] tv's[0] friends[1] have[0] been[0] inseparable[0] buddies[0] since[0] they[0] graduated[0] from[0] sagebrush[-1] high[0] in[0] 1987[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , when former classmate heather mooney ( janeane garafolo , the truth about cats and dogs ) confronts romy about the 10 year reunion , she is astounded that she forgot . 	however , when former classmate heather money ( janeane garafolo , the truth about cats and dogs ) confronts romy about the 10 year reunion , she is astounded that she forgot .	2	-3	 however[0] when[0] former[0] classmate[0] heather[0] mooney/money[0] janeane[0] garafolo[0] the[0] truth[1] about[0] cats[0] and[0] dogs[0] confronts[-2] romy[0] about[0] the[0] 10[0] year[0] reunion[0] she[0] is[0] astounded[0] that[0] she[0] forgot[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
watching pretty woman for the um-teenth time , they are reminded of how they wouldn't let julia roberts' character shop in the expensive stores because of her appearance . 	watching pretty woman for the um-tenth time , they are reminded of how they wouldn't let julia roberts' character shop in the expensive stores because of her appearance .	3	-2	 watching[0] pretty[2] woman[0] for[0] the[0] um[0] teenth/tenth[0] time[0] they[0] are[0] reminded[0] of[0] how[0] they[0] wouldn't[0] let[0] julia[0] roberts'[0] character[0] shop[0] in[0] the[0] expensive[-1] stores[0] because[0] of[0] her[0] appearance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
then it hits them : they are not successful . 	then it hits them : they are not successful .	1	-3	 then[0] it[0] hits[0] them[0] they[0] are[0] not[0] successful[2][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what are she and michele going to do ? 	what are she and michele going to do ?	1	-1	 what[0] are[0] she[0] and[0] michele[0] going[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
romy's instant solution is lose some weight off their already slender frames , " bag a couple of boyfriends , " and get jobs . 	romy's instant solution is lose some weight off their already slender frames , " bag a couple of boyfriends , " and get jobs .	1	-2	 romy's[0] instant[0] solution[0] is[0] lose[-1] some[0] weight[0] off[0] their[0] already[0] slender[0] frames[0] bag[0] a[0] couple[0] of[0] boyfriends[0] and[0] get[0] jobs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
romy says this will be easy , but michele retorts that if it is so easy , why hadn't they already done it . 	romy says this will be easy , but michele retorts that if it is so easy , why hadn't they already done it .	1	-1	 romy[0] says[0] this[0] will[0] be[0] easy[0] but[0] michele[0] retorts[0] that[0] if[0] it[0] is[0] so[0] easy[0] why[0] hadn't[0] they[0] already[0] done[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
robin schiff's script keeps the show moving with some nice one-liners . 	robin schiff's script keeps the show moving with some nice one-liners .	1	-1	 robin[0] schiff's[0] script[0] keeps[0] the[0] show[0] moving[0] with[0] some[0] nice[1][-1 LastWordBoosterStrength] one[0] liners[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the best has romy reminiscing about her life's battle against the bathroom scales . 	one of the best has romy reminiscing about her life's battle against the bathroom scales .	2	-2	 one[0] of[0] the[0] best[1] has[0] romy[0] reminiscing[0] about[0] her[0] life's[0] battle[-1] against[-1] the[0] bathroom[0] scales[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " i was so lucky getting mono , " she says looking at her thinnest high school picture . 	 " i was so lucky getting mono , " she says looking at her thinnest high school picture .	2	-1	 i[0] was[0] so[0] lucky[1] getting[0] mono[0] she[0] says[0] looking[0] at[0] her[0] thinnest[0] high[0] school[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " that was like the best diet ever . " 	 " that was like the best diet ever .<br> "	2	-1	 that[0] was[0] like[1] the[0] best[1] diet[0] ever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the casting for the film is so perfect that one begins to suspect that the leads were chosen and then the script was developed . 	the casting for the film is so perfect that one begins to suspect that the leads were chosen and then the script was developed .	2	-2	 the[0] casting[0] for[0] the[0] film[0] is[0] so[0] perfect[1] that[0] one[0] begins[0] to[0] suspect[-1] that[0] the[0] leads[0] were[0] chosen[0] and[0] then[0] the[0] script[0] was[0] developed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
romy and michele use their high school yearbook to discuss the caste system at their high school . 	romy and michele use their high school yearbook to discuss the caste system at their high school .	1	-1	 romy[0] and[0] michele[0] use[0] their[0] high[0] school[0] yearbook[0] to[0] discuss[0] the[0] caste[0] system[0] at[0] their[0] high[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's editor david finfer dissolves the stills from the yearbook to live action flashbacks which makes the past come to life . 	the film's editor david finfer dissolves the stills from the yearbook to live action flashbacks which makes the past come to life .	1	-1	 the[0] film's[0] editor[0] david[0] finfer[0] dissolves[0] the[0] stills[0] from[0] the[0] yearbook[0] to[0] live[0] action[0] flashbacks[0] which[0] makes[0] the[0] past[0] come[0] to[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at sagebrush high , the hierarchy consisted of the a group ( cheerleaders ) , the b group ( drama club ) and the c group ( nerds ) . 	at sagebrush high , the hierarchy consisted of the a group ( cheerleaders ) , the b group ( drama club ) and the c group ( nerds ) .	1	-3	 at[0] sagebrush[-1] high[0] the[0] hierarchy[0] consisted[0] of[0] the[0] a[0] group[0] cheerleaders[0] the[0] b[0] group[0] drama[0] club[0] and[0] the[0] c[0] group[0] nerds[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
romy and michele were none of the above . 	romy and michele were none of the above .	1	-1	 romy[0] and[0] michele[0] were[0] none[0] of[0] the[0] above[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ridiculed as " the weirdoes , " they were constant targets for abuse . 	ridiculed as " the weirdoes , " they were constant targets for abuse .	1	-4	 ridiculed[-2] as[0] the[0] weirdoes[-1] they[0] were[0] constant[0] targets[0] for[0] abuse[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even though they were quite attractive , they had so much fun being together that they did not care about the others . 	even though they were quite attractive , they had so much fun being together that they did not care about the others .	2	-2	 even[0] though[0] they[0] were[0] quite[0] attractive[1] they[0] had[0] so[0] much[0] fun[1] being[0] together[0] that[0] they[0] did[0] not[0] care[1][NegatedDueToPreviousWord] about[0] the[0] others[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that they make their own outlandish clothes helped keep the wall around them . 	that they make their own outlandish clothes helped keep the wall around them .	1	-1	 that[0] they[0] make[0] their[0] own[0] outlandish[0] clothes[0] helped[0] keep[0] the[0] wall[0] around[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
complementing romy and michele's lightness , is janeane garofalo as the dark , pudgy heather mooney . 	complementing romy and michele's lightness , is janeane garofalo as the dark , pudgy heather money .	1	-1	 complementing[0] romy[0] and[0] michele's[0] lightness[0] is[0] janeane[0] garofalo[0] as[0] the[0] dark[0] pudgy[0] heather[0] mooney/money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
heather , who invented a new cigarette paper for cigarettes with " twice the taste in half the time for the gal on the go , " has the success and the money that they would like . 	heather , who invented a new cigarette paper for cigarettes with " twice the taste in half the time for the get a life� on the go , " has the success and the money that they would like .	3	-1	 heather[0] who[0] invented[0] a[0] new[0] cigarette[0] paper[0] for[0] cigarettes[0] with[0] twice[0] the[0] taste[0] in[0] half[0] the[0] time[0] for[0] the[0] gal[0] on[0] the[0] go[0] has[0] the[0] success[2] and[0] the[0] money[0] that[0] they[0] would[0] like[1][-1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
heather was even more of an outsider than they were in high school . 	heather was even more of an outsider than they were in high school .	1	-2	 heather[0] was[0] even[0] more[0] of[0] an[0] outsider[-1] than[0] they[0] were[0] in[0] high[0] school[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
garofalo's one-dimensional role is only a side show . 	garofalo's one-dimensional role is only a side show .	1	-1	 garofalo's[0] one[0] dimensional[0] role[0] is[0] only[0] a[0] side[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a two person film with the other characters there merely for the two leads to bounce their lines off of . 	this is a two person film with the other characters there merely for the two leads to bounce their lines off of .	1	-1	 this[0] is[0] a[0] two[0] person[0] film[0] with[0] the[0] other[0] characters[0] there[0] merely[0] for[0] the[0] two[0] leads[0] to[0] bounce[0] their[0] lines[0] off[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the genuine chemistry between sorvino and kudrow makes for a sweet and sometimes touching comedy . 	the genuine chemistry between sorvino and kudrow makes for a sweet and sometimes touching comedy .	2	-1	 the[0] genuine[0] chemistry[0] between[0] sorvino[0] and[0] kudrow[0] makes[0] for[0] a[0] sweet[1] and[0] sometimes[0] touching[0] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they have so much fun acting out their parts , their enjoyment spreads to the audience . 	they have so much fun acting out their parts , their enjoyment spreads to the audience .	3	-1	 they[0] have[0] so[0] much[0] fun[1] acting[0] out[0] their[0] parts[0] their[0] enjoyment[2] spreads[0] to[0] the[0] audience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 , 	 ,	1	-1	[[[0,0 max of sentences]]]
