anastasia contains something that has been lacking from all of the recent disney releases . . . 	Translation	Positive	Negative	EmotionRationale
 ( especially hercules ) . . . 	 ( especially hercules ) .<br> .<br> .	1	-1	 especially[0] hercules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
emotion . 	emotion .	1	-1	 emotion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all the wacky characters voiced by celebrities and fantastically animated adventure sequences aren't going to hold anyone's interest unless there is an emotional core to hold it all together . 	all the wacky characters voiced by celebrities and fantastically animated adventure sequences aren't going to hold anyone's interest unless there is an emotional core to hold it all together .	2	-2	 all[0] the[0] wacky[0] characters[0] voiced[0] by[0] celebrities[0] and[0] fantastically[0] animated[0] adventure[0] sequences[0] aren't[0] going[0] to[0] hold[0] anyone's[0] interest[1] unless[0] there[0] is[0] an[0] emotional[-1] core[0] to[0] hold[0] it[0] all[0] together[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not since disney's beauty & the beast has there been such a compelling animated film with interesting characters and drama that works . 	not since disney's beauty & the beast has there been such a compelling animated film with interesting characters and drama that works .	3	-1	 not[0] since[0] disney's[0] beauty[2] &[0] the[0] beast[0] has[0] there[0] been[0] such[0] a[0] compelling[0] animated[0] film[0] with[0] interesting[1] characters[0] and[0] drama[0] that[0] works[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story of the romanov family , the rulers of russia , and their downfall begins the film . 	the story of the romanov family , the rulers of russia , and their downfall begins the film .	1	-2	 the[0] story[0] of[0] the[0] romanov[0] family[0] the[0] rulers[0] of[0] russia[0] and[0] their[0] downfall[-1] begins[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anastasia , one of the daughters , narrowly escapes the mad monk rasputin ( voiced by christopher lloyd ) with her grandmother ( voiced by angela landsbury ) . 	anastasia , one of the daughters , narrowly escapes the mad monk rasputin ( voiced by christopher lloyd ) with her grandmother ( voiced by angela landsbury ) .	1	-2	 anastasia[0] one[0] of[0] the[0] daughters[0] narrowly[0] escapes[0] the[0] mad[-1] monk[0] rasputin[0] voiced[0] by[0] christopher[0] lloyd[0] with[0] her[0] grandmother[0] voiced[0] by[0] angela[0] landsbury[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but anastasia gets lost , and grows up with no memory of her royal origins . 	but anastasia gets lost , and grows up with no memory of her royal origins .	1	-1	 but[0] anastasia[0] gets[0] lost[0] and[0] grows[0] up[0] with[0] no[0] memory[0] of[0] her[0] royal[0] origins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the grandmother lives in paris , hoping to someday find her beloved anastasia , the only member of the family to survive the russian revolution . 	the grandmother lives in paris , hoping to someday find her beloved anastasia , the only member of the family to survive the russian revolution .	3	-2	 the[0] grandmother[0] lives[0] in[0] paris[0] hoping[1] to[0] someday[0] find[0] her[0] beloved[2] anastasia[0] the[0] only[0] member[0] of[0] the[0] family[0] to[0] survive[0] the[0] russian[0] revolution[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a young woman named anya ( voiced by meg ryan ) runs across dimitri ( john cusack ) and vlad ( kelsey grammar ) , who are trying to put together a scheme to create an anastasia to fool the grandmother and get the reward money . 	a young woman named anya ( voiced by meg ryan ) runs across dimitri ( john cusack ) and vlad ( kelsey grammar ) , who are trying to put together a scheme to create an anastasia to fool the grandmother and get the reward money .	2	-2	 a[0] young[0] woman[0] named[0] anya[0] voiced[0] by[0] meg[0] ryan[0] runs[0] across[0] dimitri[0] john[0] cusack[0] and[0] vlad[0] kelsey[0] grammar[0] who[0] are[0] trying[0] to[0] put[0] together[0] a[0] scheme[0] to[0] create[0] an[0] anastasia[0] to[0] fool[-1] the[0] grandmother[0] and[0] get[0] the[0] reward[1] money[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they pick anya to pose as their princes , and of course , it is soon revealed that anya is in fact the lost anastasia . 	they pick anya to pose as their princes , and of course , it is soon revealed that anya is in fact the lost anastasia .	1	-1	 they[0] pick[0] anya[0] to[0] pose[0] as[0] their[0] princes[0] and[0] of[0] course[0] it[0] is[0] soon[0] revealed[0] that[0] anya[0] is[0] in[0] fact[0] the[0] lost[0] anastasia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dimitri realizes that he can never win her love as he is a commoner , and meanwhile , rasputin is not dead , and plots his revenge against the last romanov . 	dimitri realizes that he can never win her love as he is a commoner , and meanwhile , rasputin is not dead , and plots his revenge against the last romanov .	3	-2	 dimitri[0] realizes[0] that[0] he[0] can[0] never[0] win[0] her[0] love[2] as[0] he[0] is[0] a[0] commoner[-1] and[0] meanwhile[0] rasputin[0] is[0] not[0] dead[-2][NegatedDueToPreviousWord] and[0] plots[0] his[0] revenge[-1] against[-1] the[0] last[0] romanov[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the plot is actually quite well structured . 	the plot is actually quite well structured .	1	-1	 the[0] plot[0] is[0] actually[0] quite[0] well[0] structured[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
