it's been a good long while since we had a good old fashioned thriller , where mostly everything goes right for the audience and wrong for the characters , but it's been even longer since i saw a thriller that actually * shock * cared for the characters , not merely judged them but actually allowed their human foibles , flaws , and strengths to emerge so radiantly . 	Translation	Positive	Negative	EmotionRationale
i'd saw that it's been at least a couple decades , even as far back to the great hitchcock thrillers , though i'm hardly comparing " a simple plan " to , say , " rear window " or " strangers on a train . " 	i'd saw that it's been at least a couple decades , even as far back to the great hitchcock thrillers , though i'm hardly comparing " a simple plan " to , say , " rear window " or " strangers on a train .<br> "	3	-1	 i'd[0] saw[0] that[0] it's[0] been[0] at[0] least[0] a[0] couple[0] decades[0] even[0] as[0] far[0] back[0] to[0] the[0] great[2] hitchcock[0] thrillers[1] though[0] i'm[0] hardly[0] comparing[0] a[0] simple[0] plan[0] to[0] say[0] rear[0] window[0] or[0] strangers[0] on[0] a[0] train[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yet it's almost as good . 	yet it's almost as good .	2	-1	 yet[0] it's[0] almost[0] as[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's simple , yet strangely complex , and astonishingly rewarding , because instead of moving from plot point to plot point , and merely laying out they-might-be-caught overtones , it instead concerns itself with the moral corruption and depths of greed that its protagonists can go to , all without ever judging them as either evil or even immoral . 	it's simple , yet strangely complex , and astonishingly rewarding , because instead of moving from plot point to plot point , and merely laying out they-might-be-caught overtones , it instead concerns itself with the moral corruption and depths of greed that its protagonists can go to , all without ever judging them as either evil or even immoral .	2	-3	 it's[0] simple[0] yet[0] strangely[0] complex[0] and[0] astonishingly[0] rewarding[1] because[0] instead[0] of[0] moving[0] from[0] plot[0] point[0] to[0] plot[0] point[0] and[0] merely[0] laying[0] out[0] they[0] might[0] be[0] caught[0] overtones[0] it[0] instead[0] concerns[-1] itself[0] with[0] the[0] moral[0] corruption[-2] and[0] depths[0] of[0] greed[-2] that[0] its[0] protagonists[0] can[0] go[0] to[0] all[0] without[0] ever[0] judging[0] them[0] as[0] either[0] evil[-2] or[0] even[0] immoral[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
elegantly directed by sam raimi ( yes , the same ) , " a simple plan " concerns itself with the discovery of a crashed plane and within a bag full of millions of dollars by an upright , moderately financially stable working man ( bill paxton ) , his dim-witted brother ( billy bob thornton ) , and his drinking buddy ( brent briscoe ) . 	elegantly directed by sam raimi ( yes , the same ) , " a simple plan " concerns itself with the discovery of a crashed plane and within a bag full of millions of dollars by an upright , moderately financially stable working man ( bill paxton ) , his dim-witted brother ( billy bob thornton ) , and his drinking buddy ( brent briscoe ) .	2	-2	 elegantly[1] directed[0] by[0] sam[0] raimi[0] yes[0] the[0] same[0] a[0] simple[0] plan[0] concerns[-1] itself[0] with[0] the[0] discovery[0] of[0] a[0] crashed[0] plane[0] and[0] within[0] a[0] bag[0] full[0] of[0] millions[0] of[0] dollars[0] by[0] an[0] upright[0] moderately[0] financially[0] stable[-1] working[0] man[0] bill[0] paxton[0] his[0] dim[-1] witted[0] brother[0] billy[0] bob[0] thornton[0] and[0] his[0] drinking[0] buddy[0] brent[0] briscoe[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
without anyone around , and the possibility that no one would come looking for it , the three debate and debate but finally reach the decision that yes , they will keep it , but until any authorities or possible owners of the cash come looking , and so they generally don't flaunt anything they don't want to flaunt , they'll keep it stored away in the custody of paxton . 	without anyone around , and the possibility that no one would come looking for it , the three debate and debate but finally reach the decision that yes , they will keep it , but until any authorities or possible owners of the cash come looking , and so they generally don't flaunt anything they don't want to flaunt , they'll keep it stored away in the custody of paxton .	1	-1	 without[0] anyone[0] around[0] and[0] the[0] possibility[0] that[0] no[0] one[0] would[0] come[0] looking[0] for[0] it[0] the[0] three[0] debate[0] and[0] debate[0] but[0] finally[0] reach[0] the[0] decision[0] that[0] yes[0] they[0] will[0] keep[0] it[0] but[0] until[0] any[0] authorities[0] or[0] possible[0] owners[0] of[0] the[0] cash[0] come[0] looking[0] and[0] so[0] they[0] generally[0] don't[0] flaunt[0] anything[0] they[0] don't[0] want[0] to[0] flaunt[0] they'll[0] keep[0] it[0] stored[0] away[0] in[0] the[0] custody[0] of[0] paxton[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the possibilites of this circumstance are much diverse : a ) they could endlessly play cat and mouse with the authorities ; b ) they could try to fight off the rightful owners , who are either villainous or just ; or c ) they could fight amongst themselves . 	the possibilites of this circumstance are much diverse : a ) they could endlessly play cat and mouse with the authorities ; b ) they could try to fight off the rightful owners , who are either villainous or just ; or c ) they could fight amongst themselves .	1	-3	 the[0] possibilites[0] of[0] this[0] circumstance[0] are[0] much[0] diverse[0] a[0] they[0] could[0] endlessly[0] play[0] cat[0] and[0] mouse[0] with[0] the[0] authorities[0] b[0] they[0] could[0] try[0] to[0] fight[-2] off[0] the[0] rightful[0] owners[0] who[0] are[0] either[0] villainous[-2] or[0] just[0] or[0] c[0] they[0] could[0] fight[-2][--1 LastWordBoosterStrength] amongst[0] themselves[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " a simple plan , " though borrows a little from each of these . 	 " a simple plan , " though borrows a little from each of these .	1	-1	 a[0] simple[0] plan[0] though[0] borrows[0] a[0] little[0] from[0] each[0] of[0] these[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a little tiff with the cops here , a subplot involving an alleged fbi agent ( a chilling gary cole ) there ) , and a bit of inside feuding over here . 	a little tiff with the cops here , a subplot involving an alleged fbi agent ( a chilling gary cole ) there ) , and a bit of inside feuding over here .	1	-3	 a[0] little[0] tiff[0] with[0] the[0] cops[0] here[0] a[0] subplot[0] involving[0] an[0] alleged[-1] fbi[0] agent[0] a[0] chilling[0] gary[0] cole[0] there[0] and[0] a[0] bit[0] of[0] inside[0] feuding[-2] over[0] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but , as austin powers would say , that's not necessarily its bag ( baby ) . 	but , as austin powers would say , that's not necessarily its bag ( baby ) .	2	-1	 but[0] as[0] austin[0] powers[0] would[0] say[0] that's[0] not[0] necessarily[0] its[0] bag[0] baby[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what i most admired about this film , and what makes this a far superior and unique thriller is that it's successfully able to have its cake and eat it too . 	what i most admired about this film , and what makes this a far superior and unique thriller is that it's successfully able to have its cake and eat it too .	3	-1	 what[0] i[0] most[0] admired[2] about[0] this[0] film[0] and[0] what[0] makes[0] this[0] a[0] far[0] superior[2] and[0] unique[0] thriller[1] is[0] that[0] it's[0] successfully[2] able[0] to[0] have[0] its[0] cake[0] and[0] eat[0] it[0] too[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it effectively involves some of the traditional thriller cliches , like the ones mentioned above , but at the same time , it involves itself more deeply with the way the characters become morally corrupt and what price they have to pay to have what they think is happiness in a black duffle bag . 	it effectively involves some of the traditional thriller cliches , like the ones mentioned above , but at the same time , it involves itself more deeply with the way the characters become morally corrupt and what price they have to pay to have what they think is happiness in a black duffle bag .	3	-3	 it[0] effectively[0] involves[0] some[0] of[0] the[0] traditional[0] thriller[1] cliches[0] like[1] the[0] ones[0] mentioned[0] above[0] but[0] at[0] the[0] same[0] time[0] it[0] involves[0] itself[0] more[0] deeply[0] with[0] the[0] way[0] the[0] characters[0] become[0] morally[0] corrupt[-2] and[0] what[0] price[0] they[0] have[0] to[0] pay[0] to[0] have[0] what[0] they[0] think[0] is[0] happiness[2] in[0] a[0] black[0] duffle[0] bag[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
