clint eastwood , in his ripe old age , is cashing one talent in for another . 	Translation	Positive	Negative	EmotionRationale
midnight in the garden of good and evil is an eastwood-directed film clint isn't even in , and it's damn good . 	midnight in the garden of good and evil is an eastwood-directed film clint isn't even in , and it's damn good .	2	-3	 midnight[0] in[0] the[0] garden[0] of[0] good[1] and[0] evil[-2] is[0] an[0] eastwood[0] directed[0] film[0] clint[0] isn't[0] even[0] in[0] and[0] it's[0] damn[-1] good[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
adapted from a best-selling john berendt novel based on true events , this movie is set in the bizarre georgia town of savannah , where people walk invisible dogs and attach horseflies to their head . 	adapted from a best-selling john berendt novel based on true events , this movie is set in the bizarre georgia town of savannah , where people walk invisible dogs and attach horseflies to their head .	2	-2	 adapted[0] from[0] a[0] best[1] selling[0] john[0] berendt[0] novel[0] based[0] on[0] true[1] events[0] this[0] movie[0] is[0] set[0] in[0] the[0] bizarre[-1] georgia[0] town[0] of[0] savannah[0] where[0] people[0] walk[0] invisible[-1] dogs[0] and[0] attach[0] horseflies[0] to[0] their[0] head[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and that's just the mayor . 	and that's just the mayor .	1	-1	 and[0] that's[0] just[0] the[0] mayor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as director and producer , eastwood contributes a self- indulgent but very competent 150 minutes , neatly balancing drama , suspense and humor . 	as director and producer , eastwood contributes a self- indulgent but very competent 150 minutes , neatly balancing drama , suspense and humor .	3	-1	 as[0] director[0] and[0] producer[0] eastwood[0] contributes[0] a[0] self[0] indulgent[0] but[0] very[0] competent[0] 150[0] minutes[0] neatly[0] balancing[0] drama[0] suspense[0] and[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
like all great movies , midnight in the garden has a lot of funny moments that spring from the characters themselves , and not from some contrived , juvenile intrusion . 	like all great movies , midnight in the garden has a lot of funny moments that spring from the characters themselves , and not from some contrived , juvenile intrusion .	3	-2	 like[1] all[0] great[2] movies[0] midnight[0] in[0] the[0] garden[0] has[0] a[0] lot[0] of[0] funny[1] moments[0] that[0] spring[0] from[0] the[0] characters[0] themselves[0] and[0] not[0] from[0] some[0] contrived[0] juvenile[0] intrusion[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the acting , from big-time stars john cusack and kevin spacey , is as good as you'd expect , but it's the supporting stable that gives the movie its offbeat charm . 	the acting , from big-time stars john cusack and kevin spacey , is as good as you'd expect , but it's the supporting stable that gives the movie its offbeat charm .	2	-2	 the[0] acting[0] from[0] big[0] time[0] stars[0] john[0] cusack[0] and[0] kevin[0] spacey[0] is[0] as[0] good[1] as[0] you'd[0] expect[0] but[0] it's[0] the[0] supporting[1] stable[-1] that[0] gives[0] the[0] movie[0] its[0] offbeat[0] charm[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
cusack plays a free-lance reporter sent to savannah to write a fluff story for town & country magazine about one of eccentric millionaire spacey's parties . 	cusack plays a free-lance reporter sent to savannah to write a fluff story for town & country magazine about one of eccentric millionaire spacey's parties .	2	-2	 cusack[0] plays[1] a[0] free[0] lance[0] reporter[0] sent[0] to[0] savannah[0] to[0] write[0] a[0] fluff[0] story[0] for[0] town[0] &[0] country[0] magazine[0] about[0] one[0] of[0] eccentric[-1] millionaire[0] spacey's[0] parties[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lots of food , beverages and gunplay . 	lots of food , beverages and gunplay .	1	-2	 lots[0] of[0] food[0] beverages[0] and[0] gunplay[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , an employee of spacey's has a huge argument in front of cusack and later turns up dead . 	yes , an employee of spacey's has a huge argument in front of cusack and later turns up dead .	1	-3	 yes[0] an[0] employee[0] of[0] spacey's[0] has[0] a[0] huge[0] argument[-1] in[0] front[0] of[0] cusack[0] and[0] later[0] turns[0] up[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it seems like a simple matter of self- defense -- the guy threatened spacey , shot at him , missed , then spacey took him out -- but being a movie , there's much more to it than that , and cusack decides to stay in town and write a book about the murder , a book which will eventually become a movie he will star in . 	it seems like a simple matter of self- defense - the guy threatened spacey , shot at him , missed , then spacey took him out - but being a movie , there's much more to it than that , and cusack decides to stay in town and write a book about the murder , a book which will eventually become a movie he will star in .	2	-4	 it[0] seems[0] like[1] a[0] simple[0] matter[0] of[0] self[0] defense[0] the[0] guy[0] threatened[-2] spacey[0] shot[-1] at[0] him[0] missed[-1] then[0] spacey[0] took[0] him[0] out[0] but[0] being[0] a[0] movie[0] there's[0] much[0] more[0] to[0] it[0] than[0] that[0] and[0] cusack[0] decides[0] to[0] stay[0] in[0] town[0] and[0] write[0] a[0] book[0] about[0] the[0] murder[-3] a[0] book[0] which[0] will[0] eventually[0] become[0] a[0] movie[0] he[0] will[0] star[0] in[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
