martin scorsese's films used to intimidate me . 	Translation	Positive	Negative	EmotionRationale
because of his reputation , i felt obligated to appreciate them as deep film art rather than as great flicks . 	because of his reputation , i felt obligated to appreciate them as deep film art rather than as great flicks .	3	-1	 because[0] of[0] his[0] reputation[0] i[0] felt[0] obligated[0] to[0] appreciate[1] them[0] as[0] deep[0] film[0] art[0] rather[0] than[0] as[0] great[2] flicks[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as much as i enjoyed them , i usually felt like i missed something . 	as much as i enjoyed them , i usually felt like i missed something .	3	-2	 as[0] much[0] as[0] i[0] enjoyed[2] them[0] i[0] usually[0] felt[0] like[1] i[0] missed[-1] something[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i learned from scorsese's casino that whatever techniques he uses are merely there to enhance the story . 	i learned from scorsese's casino that whatever techniques he uses are merely there to enhance the story .	1	-1	 i[0] learned[0] from[0] scorsese's[0] casino[0] that[0] whatever[0] techniques[0] he[0] uses[0] are[0] merely[0] there[0] to[0] enhance[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no mystical interpretation is required to appreciate his movies . 	no mystical interpretation is required to appreciate his movies .	2	-1	 no[0] mystical[0] interpretation[0] is[0] required[0] to[0] appreciate[1] his[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for example , in casino he uses subtitles when robert deniro and joe pesci are using code words with each other . 	for example , in casino he uses subtitles when robert deniro and joe pesci are using code words with each other .	1	-1	 for[0] example[0] in[0] casino[0] he[0] uses[0] subtitles[0] when[0] robert[0] deniro[0] and[0] joe[0] pesci[0] are[0] using[0] code[0] words[0] with[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there was no meaning more exotic than that subtitles were the most succinct way for him to tell the audience what was really going on . 	there was no meaning more exotic than that subtitles were the most succinct way for him to tell the audience what was really going on .	1	-1	 there[0] was[0] no[0] meaning[0] more[0] exotic[0] than[0] that[0] subtitles[0] were[0] the[0] most[0] succinct[0] way[0] for[0] him[0] to[0] tell[0] the[0] audience[0] what[0] was[0] really[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or toward the end , when he uses three quick dissolves to compress a scene of a car backing away from a building . 	or toward the end , when he uses three quick dissolves to compress a scene of a car backing away from a building .	1	-1	 or[0] toward[0] the[0] end[0] when[0] he[0] uses[0] three[0] quick[0] dissolves[0] to[0] compress[0] a[0] scene[0] of[0] a[0] car[0] backing[0] away[0] from[0] a[0] building[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
again , the simple , mundane explanation is that it helped the pacing . 	again , the simple , mundane explanation is that it helped the pacing .	1	-2	 again[0] the[0] simple[0] mundane[-1] explanation[0] is[0] that[0] it[0] helped[0] the[0] pacing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't mean to say that his techniques are not creative or good-looking . 	i don't mean to say that his techniques are not creative or good-looking .	2	-1	 i[0] don't[0] mean[0] to[0] say[0] that[0] his[0] techniques[0] are[0] not[0] creative[0] or[0] good[1] looking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but he simply uses the best tool for the job . 	but he simply uses the best tool for the job .	2	-1	 but[0] he[0] simply[0] uses[0] the[0] best[1] tool[0] for[0] the[0] job[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it shouldn't have surprised me , then , that kundun , a film about a mystical religion , actually turned out to be quite straightforward . 	it shouldn't have surprised me , then , that kundun , a film about a mystical religion , actually turned out to be quite straightforward .	1	-1	 it[0] shouldn't[0] have[0] surprised[0] me[0] then[0] that[0] kundun[0] a[0] film[0] about[0] a[0] mystical[0] religion[0] actually[0] turned[0] out[0] to[0] be[0] quite[0] straightforward[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie follows the life of the 14th dalai lama , the spiritual and political leader of tibet . 	the movie follows the life of the 14th dalai lama , the spiritual and political leader of tibet .	1	-1	 the[0] movie[0] follows[0] the[0] life[0] of[0] the[0] 14th[0] dalai[0] lama[0] the[0] spiritual[0] and[0] political[0] leader[0] of[0] tibet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie's title is another name for the dalai lama which means " ocean of wisdom . " 	the movie's title is another name for the dalai lama which means " ocean of wisdom .<br> "	1	-1	 the[0] movie's[0] title[0] is[0] another[0] name[0] for[0] the[0] dalai[0] lama[0] which[0] means[0] ocean[0] of[0] wisdom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his story is told in strict chronological order and there are only a few cinematic visions to embellish the literal story . 	his story is told in strict chronological order and there are only a few cinematic visions to embellish the literal story .	1	-2	 his[0] story[0] is[0] told[0] in[0] strict[-1] chronological[0] order[0] and[0] there[0] are[0] only[0] a[0] few[0] cinematic[0] visions[0] to[0] embellish[0] the[0] literal[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( one of which makes an interesting statement : pay attention to the film's opening shot and watch where it is repeated . ) 	 ( one of which makes an interesting statement : pay attention to the film's opening shot and watch where it is repeated .<br> )	2	-2	 one[0] of[0] which[0] makes[0] an[0] interesting[1] statement[0] pay[0] attention[0] to[0] the[0] film's[0] opening[0] shot[-1] and[0] watch[0] where[0] it[0] is[0] repeated[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we first glimpse the dalai lama when he is two years old . 	we first glimpse the dalai lama when he is two years old .	1	-1	 we[0] first[0] glimpse[0] the[0] dalai[0] lama[0] when[0] he[0] is[0] two[0] years[0] old[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his curiosity and self-assuredness capture the attention of a monk wandering in search of the new lama . 	his curiosity and self-assuredness capture the attention of a monk wandering in search of the new lama .	1	-2	 his[0] curiosity[0] and[0] self[0] assuredness[0] capture[-1] the[0] attention[0] of[0] a[0] monk[0] wandering[0] in[0] search[0] of[0] the[0] new[0] lama[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a test is arranged to see if this boy really is the reincarnation of the 13 dalai lamas who have gone before . 	a test is arranged to see if this boy really is the reincarnation of the 13 dalai lamas who have gone before .	1	-1	 a[0] test[0] is[0] arranged[0] to[0] see[0] if[0] this[0] boy[0] really[0] is[0] the[0] reincarnation[0] of[0] the[0] 13[0] dalai[0] lamas[0] who[0] have[0] gone[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
several items belonging to the previous dalai lama are laid before the boy alongside some other items . 	several items belonging to the previous dalai lama are laid before the boy alongside some other items .	1	-1	 several[0] items[0] belonging[0] to[0] the[0] previous[0] dalai[0] lama[0] are[0] laid[0] before[0] the[0] boy[0] alongside[0] some[0] other[0] items[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the child is asked if he recognizes any of the items as his own . 	the child is asked if he recognizes any of the items as his own .	1	-1	 the[0] child[0] is[0] asked[0] if[0] he[0] recognizes[0] any[0] of[0] the[0] items[0] as[0] his[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the boy picks correctly , proving that he is the new , and the old , dalai lama . 	the boy picks correctly , proving that he is the new , and the old , dalai lama .	1	-1	 the[0] boy[0] picks[0] correctly[0] proving[0] that[0] he[0] is[0] the[0] new[0] and[0] the[0] old[0] dalai[0] lama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
