note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during the three years since the release of the groundbreaking success pulp fiction , the cinematic output from its creator , quentin tarantino , has been surprisingly low . 	during the three years since the release of the groundbreaking success pulp fiction , the cinematic output from its creator , quentin tarantino , has been surprisingly low .	3	-2	 during[0] the[0] three[0] years[0] since[0] the[0] release[0] of[0] the[0] groundbreaking[0] success[2] pulp[0] fiction[0] the[0] cinematic[0] output[0] from[0] its[0] creator[0] quentin[0] tarantino[0] has[0] been[0] surprisingly[0] low[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
oh , he's been busy -- doing the talk show circuit , taking small roles in various films , overseeing the production of his screenplay from dusk till dawn , making cameo appearances on television shows , providing a vignette for the ill-fated anthology four rooms -- everything , it seems , except direct another feature-length film . 	oh , he's been busy - doing the talk show circuit , taking small roles in various films , overseeing the production of his screenplay from dusk till dawn , making cameo appearances on television shows , providing a vignette for the ill-fated anthology four rooms - everything , it seems , except direct another feature-length film .	1	-2	 oh[0] he's[0] been[0] busy[0] doing[0] the[0] talk[0] show[0] circuit[0] taking[0] small[0] roles[0] in[0] various[0] films[0] overseeing[0] the[0] production[0] of[0] his[0] screenplay[0] from[0] dusk[0] till[0] dawn[0] making[0] cameo[0] appearances[0] on[0] television[0] shows[0] providing[0] a[0] vignette[0] for[0] the[0] ill[-1] fated[0] anthology[0] four[0] rooms[0] everything[0] it[0] seems[0] except[0] direct[0] another[0] feature[0] length[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's been the long intermission between projects as well as the dizzying peak which pulp fiction reached which has made mr . tarantino's new feature film , jackie brown , one of the most anticipated films of the year , and his third feature film cements his reputation as the single most important new american filmmaker to emerge from the 1990s . 	it's been the long intermission between projects as well as the dizying peak which pulp fiction reached which has made mr .<br> tarantino's new feature film , jackie brown , one of the most anticipated films of the year , and his third feature film cements his reputation as the single most important new american filmmaker to emerge from the 1990s .	1	-1	 it's[0] been[0] the[0] long[0] intermission[0] between[0] projects[0] as[0] well[0] as[0] the[0] dizzying/dizying[0] peak[0] which[0] pulp[0] fiction[0] reached[0] which[0] has[0] made[0] mr[0] [[Sentence=-1,1=word max, 1-5]] tarantino's[0] new[0] feature[0] film[0] jackie[0] brown[0] one[0] of[0] the[0] most[0] anticipated[0] films[0] of[0] the[0] year[0] and[0] his[0] third[0] feature[0] film[0] cements[0] his[0] reputation[0] as[0] the[0] single[0] most[0] important[0] new[0] american[0] filmmaker[0] to[0] emerge[0] from[0] the[0] 1990s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
things aren't going well for jackie brown ( pam grier ) . 	things aren't going well for jackie brown ( pam grier ) .	1	-1	 things[0] aren't[0] going[0] well[0] for[0] jackie[0] brown[0] pam[0] grier[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's 44 years old , stuck at a dead-end job ( "  16 , 000 a year , plus retirement benefits that aren't worth a damn " ) as a flight attendant for the worst airline in north america -- and she's just been caught at the airport by atf agent ray nicolette ( portrayed with terrific childlike enthusiasm by michael keaton ) and police officer mark dargus ( michael bowen ) smuggling  50 000 from mexico for gun-runner ordell robbie ( samuel l . jackson ) , who has her bailed out by unassuming bail bondsman max cherry ( robert forster ) . 	she's 44 years old , stuck at a dead-end job ( "  16 , 00 a year , plus retirement benefits that aren't worth a damn " ) as a flight attendant for the worst airline in north america - and she's just been caught at the airport by atf agent ray nicolette ( portrayed with terrific childlike enthusiasm by michael keaton ) and police officer mark dargus ( michael bowen ) smuggling  50 00 from mexico for gun-runner ordell robbie ( samuel l .<br> jackson ) , who has her bailed out by unassuming bail bondsman max cherry ( robert forster ) .	4	-3	 she's[0] 44[0] years[0] old[0] stuck[0] at[0] a[0] dead[-2] end[0] job[0] 16[0] 000/00[0] a[0] year[0] plus[0] retirement[-1] benefits[0] that[0] aren't[0] worth[0] a[0] damn[-1] as[0] a[0] flight[0] attendant[0] for[0] the[0] worst[-2] airline[0] in[0] north[0] america[0] and[0] she's[0] just[0] been[0] caught[0] at[0] the[0] airport[0] by[0] atf[0] agent[0] ray[0] nicolette[0] portrayed[0] with[0] terrific[3] childlike[0] enthusiasm[2] by[0] michael[0] keaton[0] and[0] police[0] officer[0] mark[0] dargus[0] michael[0] bowen[0] smuggling[-1] 50[0] 000/00[0] from[0] mexico[0] for[0] gun[-1] runner[0] ordell[0] robbie[0] samuel[0] l[0] [[Sentence=-3,4=word max, 1-5]] jackson[0] who[0] has[0] her[0] bailed[-1] out[0] by[0] unassuming[0] bail[-1] bondsman[0] max[0] cherry[0] robert[0] forster[0] [[Sentence=-2,1=word max, 1-5]][[[4,-3 max of sentences]]]
the loquacious ordell , based out of a hermosa beach house where his horny , bong-hitting surfer girl melanie ( bridget fonda ) and agreeable crony louis gara ( robert de niro ) hang out , operates under the policy that the best rat is a dead rat , and he's soon out to silence jackie brown . 	the loquacious ordell , based out of a hermosa beach house where his horny , bong-hitting surfer girl melanie ( bridget fonda ) and agreeable crony louis gara ( robert de niro ) hang out , operates under the policy that the best rat is a dead rat , and he's soon out to silence jackie brown .	2	-3	 the[0] loquacious[0] ordell[0] based[0] out[0] of[0] a[0] hermosa[0] beach[0] house[0] where[0] his[0] horny[0] bong[0] hitting[0] surfer[0] girl[0] melanie[0] bridget[0] fonda[0] and[0] agreeable[0] crony[0] louis[0] gara[0] robert[0] de[0] niro[0] hang[-1] out[0] operates[0] under[0] the[0] policy[0] that[0] the[0] best[1] rat[-1] is[0] a[0] dead[-2] rat[-1] and[0] he's[0] soon[0] out[0] to[0] silence[0] jackie[0] brown[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
meanwhile , the authorities' target is ordell , and they want jackie to help them by arranging a sting to the tune of a half-million dollars . 	meanwhile , the authorities' target is ordell , and they want jackie to help them by arranging a sting to the tune of a half-million dollars .	1	-2	 meanwhile[0] the[0] authorities'[0] target[0] is[0] ordell[0] and[0] they[0] want[0] jackie[0] to[0] help[0] them[0] by[0] arranging[0] a[0] sting[-1] to[0] the[0] tune[0] of[0] a[0] half[0] million[0] dollars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
only through a series of clever twists , turns , and double-crosses will jackie be able to gain the upper hand on both of her nemeses . 	only through a series of clever twists , turns , and double-crosses will jackie be able to gain the upper hand on both of her nemeses .	1	-1	 only[0] through[0] a[0] series[0] of[0] clever[0] twists[0] turns[0] and[0] double[0] crosses[0] will[0] jackie[0] be[0] able[0] to[0] gain[0] the[0] upper[0] hand[0] on[0] both[0] of[0] her[0] nemeses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although jackie brown marks mr . tarantino's first produced screenplay adaptation ( based on the elmore leonard novel " rum punch " ) , there's no mistaking his distinctive fingerprints all over this film . 	although jackie brown marks mr .<br> tarantino's first produced screenplay adaptation ( based on the elmore leonard novel " rum punch " ) , there's no mistaking his distinctive fingerprints all over this film .	1	-2	 although[0] jackie[0] brown[0] marks[0] mr[0] [[Sentence=-1,1=word max, 1-5]] tarantino's[0] first[0] produced[0] screenplay[0] adaptation[0] based[0] on[0] the[0] elmore[0] leonard[0] novel[0] rum[0] punch[-1] there's[0] no[0] mistaking[-1] his[0] distinctive[0] fingerprints[0] all[0] over[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while he's adhered closely to the source material in a narrative sense , the setting has been relocated to los angeles and the lead character's now black . 	while he's adhered closely to the source material in a narrative sense , the setting has been relocated to los angeles and the lead character's now black .	1	-2	 while[0] he's[0] adhered[0] closely[0] to[0] the[0] source[-1] material[0] in[0] a[0] narrative[0] sense[0] the[0] setting[0] has[0] been[0] relocated[0] to[0] los[0] angeles[0] and[0] the[0] lead[0] character's[0] now[0] black[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in terms of ambiance , the film harkens back to the 1970s , from the wall-to-wall funk and soul music drowning the soundtrack to the nondescript look of the sets -- even the opening title credit sequence has the echo of vintage 1970s productions . 	in terms of ambiance , the film harkens back to the 1970s , from the wall-to-wall funk and soul music drowning the soundtrack to the nondescript look of the sets - even the opening title credit sequence has the echo of vintage 1970s productions .	1	-2	 in[0] terms[0] of[0] ambiance[0] the[0] film[0] harkens[0] back[0] to[0] the[0] 1970s[0] from[0] the[0] wall[0] to[0] wall[0] funk[0] and[0] soul[0] music[0] drowning[-1] the[0] soundtrack[0] to[0] the[0] nondescript[0] look[0] of[0] the[0] sets[0] even[0] the[0] opening[0] title[0] credit[0] sequence[0] has[0] the[0] echo[0] of[0] vintage[0] 1970s[0] productions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the opening sequence featuring ms . grier wordlessly striding through the lax , funky music blaring away on the speakers , is emblematic of films of that era . 	the opening sequence featuring ms .<br> grier wordlessly striding through the lax , funky music blaring away on the speakers , is emblematic of films of that era .	1	-1	 the[0] opening[0] sequence[0] featuring[0] ms[0] [[Sentence=-1,1=word max, 1-5]] grier[0] wordlessly[0] striding[0] through[0] the[0] lax[0] funky[0] music[0] blaring[0] away[0] on[0] the[0] speakers[0] is[0] emblematic[0] of[0] films[0] of[0] that[0] era[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the timeframe for the film is in fact 1995 , but the atmosphere of jackie brown is decidedly retro . 	the timeframe for the film is in fact 1995 , but the atmosphere of jackie brown is decidedly retro .	1	-1	 the[0] timeframe[0] for[0] the[0] film[0] is[0] in[0] fact[0] 1995[0] but[0] the[0] atmosphere[0] of[0] jackie[0] brown[0] is[0] decidedly[0] retro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , nothing in the film screams 1970s more than the casting of pam grier and robert forster as the two leads , and although the caper intrigue is fun to watch as the plot twists , backstabbing , and deceptions deliciously unfold , the strength of jackie brown is the quiet , understated relationship developed between jackie and max ; when they kiss , it's perhaps the most tender scene of the year . 	of course , nothing in the film screams 1970s more than the casting of pam grier and robert forster as the two leads , and although the caper intrigue is fun to watch as the plot twists , backstabbing , and deceptions deliciously unfold , the strength of jackie brown is the quiet , understated relationship developed between jackie and max ; when they kiss , it's perhaps the most tender scene of the year .	3	-4	 of[0] course[0] nothing[0] in[0] the[0] film[0] screams[-3] 1970s[0] more[0] than[0] the[0] casting[0] of[0] pam[0] grier[0] and[0] robert[0] forster[0] as[0] the[0] two[0] leads[0] and[0] although[0] the[0] caper[0] intrigue[0] is[0] fun[1] to[0] watch[0] as[0] the[0] plot[0] twists[0] backstabbing[0] and[0] deceptions[-1] deliciously[2] unfold[0] the[0] strength[0] of[0] jackie[0] brown[0] is[0] the[0] quiet[0] understated[0] relationship[0] developed[0] between[0] jackie[0] and[0] max[0] when[0] they[0] kiss[2] it's[0] perhaps[0] the[0] most[0] tender[2] scene[0] of[0] the[0] year[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
tenderness ? in a quentin tarantino film ? 	tenderness ?<br> in a quentin tarantino film ?	1	-1	 tenderness[0] [[Sentence=-1,1=word max, 1-5]] in[0] a[0] quentin[0] tarantino[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
