if there is one thing that bothers me about hollywood films it's their predictable endings . 	Translation	Positive	Negative	EmotionRationale
the devil's advocate has the atypical hollywood ending , when everything that should happen does . 	the devil's advocate has the atypical hollywood ending , when everything that should happen does .	1	-2	 the[0] devil's[-1] advocate[0] has[0] the[0] atypical[0] hollywood[0] ending[0] when[0] everything[0] that[0] should[0] happen[0] does[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately for the devil's advocate , this ending nearly collapses in on itself , and ruins the entire film . 	unfortunately for the devil's advocate , this ending nearly collapses in on itself , and ruins the entire film .	1	-2	 unfortunately[-1] for[0] the[0] devil's[-1] advocate[0] this[0] ending[0] nearly[0] collapses[-1] in[0] on[0] itself[0] and[0] ruins[0] the[0] entire[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nevertheless , the film does provide two and a half hours of pure entertainment ( note to self : kill whomever was in charge of the previews for this film ) . 	nevertheless , the film does provide two and a half hours of pure entertainment ( note to self : kill whomever was in charge of the previews for this film ) .	1	-2	 nevertheless[0] the[0] film[0] does[0] provide[0] two[0] and[0] a[0] half[0] hours[0] of[0] pure[0] entertainment[0] note[0] to[0] self[0] kill[-1] whomever[0] was[0] in[0] charge[-1] of[0] the[0] previews[0] for[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't think i was quite prepared for this movie because the trailers made it appear to be some supernatural horror film about satan . 	i don't think i was quite prepared for this movie because the trailers made it appear to be some supernatural horror film about satan .	1	-4	 i[0] don't[0] think[0] i[0] was[0] quite[0] prepared[0] for[0] this[0] movie[0] because[0] the[0] trailers[0] made[0] it[0] appear[0] to[0] be[0] some[0] supernatural[0] horror[-3] film[0] about[0] satan[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
well , it does contain this element , but what is not mentioned in the ads is the other plot elements ( and seemingly more interesting ones at that ) . 	well , it does contain this element , but what is not mentioned in the ads is the other plot elements ( and seemingly more interesting ones at that ) .	2	-1	 well[0] it[0] does[0] contain[0] this[0] element[0] but[0] what[0] is[0] not[0] mentioned[0] in[0] the[0] ads[0] is[0] the[0] other[0] plot[0] elements[0] and[0] seemingly[0] more[0] interesting[1] ones[0] at[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the devil's advocate begins in florida with an ongoing trial in session . 	the devil's advocate begins in florida with an ongoing trial in session .	1	-2	 the[0] devil's[-1] advocate[0] begins[0] in[0] florida[0] with[0] an[0] ongoing[0] trial[0] in[0] session[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kevin lomax ( keanu reeves ) is the defense attorney , working for a client whom has been accused of raping a young girl . 	kevin lomax ( keanu reeves ) is the defense attorney , working for a client whom has been accused of raping a young girl .	1	-4	 kevin[0] lomax[0] keanu[0] reeves[0] is[0] the[0] defense[0] attorney[0] working[0] for[0] a[0] client[0] whom[0] has[0] been[0] accused[-1] of[0] raping[-3] a[0] young[0] girl[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he ends up with a not-guilty verdict , despite an emotional testimony from the victim ( heather matarazzo ) . 	he ends up with a not-guilty verdict , despite an emotional testimony from the victim ( heather matarazo ) .	4	-3	 he[0] ends[0] up[0] with[0] a[0] not[0] guilty[-3][NegatedDueToPreviousWord] verdict[0] despite[0] an[0] emotional[-1] testimony[0] from[0] the[0] victim[-2] heather[0] matarazzo/matarazo[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
he leaves the courthouse with his lovely wife mary ann ( charlize theron ) where he is approached with an offer to travel to new york city to help choose a good jury . 	he leaves the courthouse with his lovely wife mary an ( charlize theron ) where he is approached with an offer to travel to new york city to help choose a good jury .	2	-1	 he[0] leaves[0] the[0] courthouse[0] with[0] his[0] lovely[1] wife[0] mary[0] ann/an[0] charlize[0] theron[0] where[0] he[0] is[0] approached[0] with[0] an[0] offer[0] to[0] travel[0] to[0] new[0] york[0] city[0] to[0] help[0] choose[0] a[0] good[1] jury[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he accepts ( mainly after seeing the paycheck he will receive ) and he flies to new york with his wife . 	he accepts ( mainly after seeing the paycheck he will receive ) and he flies to new york with his wife .	1	-1	 he[0] accepts[0] mainly[0] after[0] seeing[0] the[0] paycheck[0] he[0] will[0] receive[0] and[0] he[0] flies[0] to[0] new[0] york[0] with[0] his[0] wife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
