for those who associate italian cinema with fellini and " high art , " the son's room is an inventive , subtle alternative . 	Translation	Positive	Negative	EmotionRationale
written by , directed , and starring nanni moretti , it takes us through the slow , complicated path of bereavement . 	written by , directed , and starring nanni moretti , it takes us through the slow , complicated path of bereavement .	1	-4	 written[0] by[0] directed[0] and[0] starring[0] nanni[0] moretti[0] it[0] takes[0] us[0] through[0] the[0] slow[0] complicated[-1] path[0] of[0] bereavement[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
slow is the best description for the film at first . 	slow is the best description for the film at first .	2	-1	 slow[0] is[0] the[0] best[1] description[0] for[0] the[0] film[0] at[0] first[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it takes its time in establishing the habits of what appears to be a normal , happy family . 	it takes its time in establishing the habits of what appears to be a normal , happy family .	2	-1	 it[0] takes[0] its[0] time[0] in[0] establishing[0] the[0] habits[0] of[0] what[0] appears[0] to[0] be[0] a[0] normal[0] happy[1] family[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
father and mother both work but still find the time to support their son and daughter through homework and after school activities . 	father and mother both work but still find the time to support their son and daughter through homework and after school activities .	2	-1	 father[0] and[0] mother[0] both[0] work[0] but[0] still[0] find[0] the[0] time[0] to[0] support[1] their[0] son[0] and[0] daughter[0] through[0] homework[0] and[0] after[0] school[0] activities[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they laugh , spend free time together , and reprimand the kids for innocent wrongs with a sigh and soft pat on the shoulder . 	they laugh , spend free time together , and reprimand the kids for innocent wrongs with a sigh and soft pat on the shoulder .	2	-3	 they[0] laugh[1] spend[0] free[0] time[0] together[0] and[0] reprimand[0] the[0] kids[0] for[0] innocent[1] wrongs[-2] with[0] a[0] sigh[0] and[0] soft[0] pat[0] on[0] the[0] shoulder[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
you get the feeling there is open communication and unconditional love amongst the foursome . 	you get the feeling there is open communication and unconditional love amongst the foursome .	3	-1	 you[0] get[0] the[0] feeling[0] there[0] is[0] open[0] communication[0] and[0] unconditional[0] love[2] amongst[0] the[0] foursome[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but suddenly , the son is found to be dead after a diving accident . 	but suddenly , the son is found to be dead after a diving accident .	2	-3	 but[0] suddenly[0] the[0] son[0] is[0] found[0] to[0] be[0] dead[-2] after[0] a[0] diving[1] accident[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the family dynamics begin an unpredictable descent that gives the narrative strength when you least expect it , but can also be trying on the attention span . 	the family dynamics begin an unpredictable descent that gives the narrative strength when you least expect it , but can also be trying on the attention span .	2	-1	 the[0] family[0] dynamics[1] begin[0] an[0] unpredictable[0] descent[0] that[0] gives[0] the[0] narrative[0] strength[0] when[0] you[0] least[0] expect[0] it[0] but[0] can[0] also[0] be[0] trying[0] on[0] the[0] attention[0] span[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
though the film drags and even repeats itself , this can be somewhat excused as influenced by the process of grieving . 	though the film drags and even repeats itself , this can be somewhat excused as influenced by the process of grieving .	1	-4	 though[0] the[0] film[0] drags[0] and[0] even[0] repeats[0] itself[0] this[0] can[0] be[0] somewhat[0] excused[0] as[0] influenced[0] by[0] the[0] process[0] of[0] grieving[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
though nanni moretti wore several hats for this production , it doesn't come across as a vanity piece . 	though nanni moretti wore several hats for this production , it doesn't come across as a vanity piece .	1	-2	 though[0] nanni[0] moretti[0] wore[0] several[0] hats[0] for[0] this[0] production[0] it[0] doesn't[0] come[0] across[0] as[0] a[0] vanity[-1] piece[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one might wish he hadn't picked the profession of analyst for the father , giovanni ( which he stars as ) , if only because this makes his character's reactions so predictable . 	one might wish he hadn't picked the profession of analyst for the father , giovanni ( which he stars as ) , if only because this makes his character's reactions so predictable .	1	-1	 one[0] might[0] wish[0] he[0] hadn't[0] picked[0] the[0] profession[0] of[0] analyst[0] for[0] the[0] father[0] giovanni[0] which[0] he[0] stars[0] as[0] if[0] only[0] because[0] this[0] makes[0] his[0] character's[0] reactions[0] so[0] predictable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what saves it is a well written script , with spare dialogue and an eclectic variety of human interaction . 	what saves it is a well written script , with spare dialogue and an eclectic variety of human interaction .	2	-1	 what[0] saves[1] it[0] is[0] a[0] well[0] written[0] script[0] with[0] spare[0] dialogue[0] and[0] an[0] eclectic[0] variety[0] of[0] human[0] interaction[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
