expand the final fifteen minutes of home alone into a feature-length film and you've got baby's day out--an agreeably amusing children's comedy about a bumbling band of kid kidnappers who are unwittingly outwitted by an innocent infant . 	Translation	Positive	Negative	EmotionRationale
the plot tracks a trio of crooks-posed-as-photographers ( mantegna , pantoliano , haley ) who steal nine-month-old bennington august cottwell iv , aka baby bink , from his old-money home . 	the plot tracks a trio of crooks-posed-as-photographers ( mantegna , pantoliano , haley ) who steal nine-month-old bennington august cottwell iv , aka baby bink , from his old-money home .	2	-3	 the[0] plot[0] tracks[0] a[0] trio[0] of[0] crooks[0] posed[0] as[0] photographers[0] mantegna[0] pantoliano[0] haley[0] who[0] steal[-2] nine[0] month[0] old[0] bennington[0] august[0] cottwell[0] iv[0] aka[0] baby[1] bink[0] from[0] his[0] old[0] money[0] home[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but the plan goes awry when baby crawls out an open window and into the streets of downtown chicago ! 	but the plan goes awry when baby crawls out an open window and into the streets of downtown chicago !	2	-1	 but[0] the[0] plan[0] goes[0] awry[0] when[0] baby[1] crawls[0] out[0] an[0] open[0] window[0] and[0] into[0] the[0] streets[0] of[0] downtown[0] chicago[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
following the path of his favorite story , called " baby's day out , " baby rides a bus and visits the zoo and winds up at a skyscraper construction site . 	following the path of his favorite story , called " baby's day out , " baby rides a bus and visits the zoo and winds up at a skyscraper construction site .	2	-1	 following[0] the[0] path[0] of[0] his[0] favorite[1] story[0] called[0] baby's[0] day[0] out[0] baby[1] rides[0] a[0] bus[0] and[0] visits[0] the[0] zoo[0] and[0] winds[0] up[0] at[0] a[0] skyscraper[0] construction[0] site[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while baby stays unscathed , the crooks fare worse for the wear . 	while baby stays unscathed , the crooks fare worse for the wear .	2	-3	 while[0] baby[1] stays[0] unscathed[0] the[0] crooks[0] fare[0] worse[-2] for[0] the[0] wear[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the stooges get hit by boards and dropped from roofs and , of course , suffer multiple crotch injuries . 	the stooges get hit by boards and dropped from roofs and , of course , suffer multiple crotch injuries .	1	-4	 the[0] stooges[0] get[0] hit[0] by[0] boards[0] and[0] dropped[0] from[0] roofs[0] and[0] of[0] course[0] suffer[-3] multiple[0] crotch[0] injuries[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( john wayne bobbitt should probably steer clear of this one . ) 	 ( john wayne bobbitt should probably steer clear of this one .<br> )	1	-1	 john[0] wayne[0] bobbitt[0] should[0] probably[0] steer[0] clear[0] of[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like he did in planes , trains , and automobiles , john hughes again demonstrates his mastery of the simple set-up and extended execution . 	like he did in planes , trains , and automobiles , john hughes again demonstrates his mastery of the simple set-up and extended execution .	2	-1	 like[1] he[0] did[0] in[0] planes[0] trains[0] and[0] automobiles[0] john[0] hughes[0] again[0] demonstrates[0] his[0] mastery[0] of[0] the[0] simple[0] set[0] up[0] and[0] extended[0] execution[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here , he's aided and abetted by a director , patrick read johnson , whose choreography could rival a coen brother . 	here , he's aided and abetted by a director , patrick read johnson , whose choreography could rival a coen brother .	1	-3	 here[0] he's[0] aided[0] and[0] abetted[0] by[0] a[0] director[0] patrick[0] read[0] johnson[0] whose[0] choreography[-2] could[0] rival[-1][--1 LastWordBoosterStrength] a[0] coen[0] brother[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
best bit : baby crawling across a busy city street . 	best bit : baby crawling across a busy city street .	2	-1	 best[1] bit[0] baby[1] crawling[0] across[0] a[0] busy[0] city[0] street[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
baby's day out has only two emotions--awww and ouch--and the actors play them accordingly . 	baby's day out has only two emotions-aw and ouch-and the actors play them accordingly .	1	-1	 baby's[0] day[0] out[0] has[0] only[0] two[0] emotions[0] awww/aw[0] and[0] ouch[0] and[0] the[0] actors[0] play[0] them[0] accordingly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
