with storytelling this compelling , who needs books ? 	Translation	Positive	Negative	EmotionRationale
based on the book by author james ellroy , l . a . confidential is probably one of the best piece of work produced by hollywood in recent years . 	based on the book by author james ellroy , l .<br> a .<br> confidential is probably one of the best piece of work produced by hollywood in recent years .	2	-1	 based[0] on[0] the[0] book[0] by[0] author[0] james[0] ellroy[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] confidential[0] is[0] probably[0] one[0] of[0] the[0] best[1] piece[0] of[0] work[0] produced[0] by[0] hollywood[0] in[0] recent[0] years[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
together with director curtis hanson ( the hand that rocks the cradle , the river wild ) whom ellroy corroborated closely throughout the shooting of the film , resulted in a movie with a plot and and script so tight , an atom would have to squeeze itself through . 	together with director curtis hanson ( the hand that rocks the cradle , the river wild ) whom ellroy corroborated closely throughout the shooting of the film , resulted in a movie with a plot and and script so tight , an atom would have to squeeze itself through .	1	-2	 together[0] with[0] director[0] curtis[0] hanson[0] the[0] hand[0] that[0] rocks[0] the[0] cradle[0] the[0] river[0] wild[0] whom[0] ellroy[0] corroborated[0] closely[0] throughout[0] the[0] shooting[-1] of[0] the[0] film[0] resulted[0] in[0] a[0] movie[0] with[0] a[0] plot[0] and[0] and[0] script[0] so[0] tight[0] an[0] atom[0] would[0] have[0] to[0] squeeze[0] itself[0] through[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
set in the 50s , the story revolves around 3 policemen of vivid personalities . 	set in the 50s , the story revolves around 3 policemen of vivid personalities .	1	-1	 set[0] in[0] the[0] 50s[0] the[0] story[0] revolves[0] around[0] 3[0] policemen[0] of[0] vivid[0] personalities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jack vincennes ( spacey ) is the cop who is more concerned on busting with fame and stardom ala hollywood style , concentrating heavily on work which will attract him media attention . 	jack vincennes ( spacey ) is the cop who is more concerned on busting with fame and stardom ala hollywood style , concentrating heavily on work which will attract him media attention .	2	-2	 jack[0] vincennes[0] spacey[0] is[0] the[0] cop[0] who[0] is[0] more[0] concerned[-1] on[0] busting[0] with[0] fame[0] and[0] stardom[0] ala[0] hollywood[0] style[0] concentrating[0] heavily[0] on[0] work[0] which[0] will[0] attract[1] him[0] media[0] attention[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is also the young hot-shot rookie , ed exley ( pearce ) , fresh out of the academy and all-out to carve a name for himself in the footsteps of his legendary cop father . 	there is also the young hot-shot rookie , ed exley ( pearce ) , fresh out of the academy and all-out to carve a name for himself in the footsteps of his legendary cop father .	1	-2	 there[0] is[0] also[0] the[0] young[0] hot[0] shot[-1] rookie[0] ed[0] exley[0] pearce[0] fresh[0] out[0] of[0] the[0] academy[0] and[0] all[0] out[0] to[0] carve[0] a[0] name[0] for[0] himself[0] in[0] the[0] footsteps[0] of[0] his[0] legendary[0] cop[0] father[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the tough and unnerving bud white ( crowe ) , a cop who believes in justice , the swift and violent way . 	the tough and unnerving bud white ( crowe ) , a cop who believes in justice , the swift and violent way .	1	-3	 the[0] tough[-1] and[0] unnerving[0] bud[0] white[0] crowe[0] a[0] cop[0] who[0] believes[0] in[0] justice[0] the[0] swift[0] and[0] violent[-2] way[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
3 policemen , distinct in their characters and paths but all of them working in a place where there is no real distinction between good and evil . 	3 policemen , distinct in their characters and paths but all of them working in a place where there is no real distinction between good and evil .	2	-3	 3[0] policemen[0] distinct[0] in[0] their[0] characters[0] and[0] paths[0] but[0] all[0] of[0] them[0] working[0] in[0] a[0] place[0] where[0] there[0] is[0] no[0] real[0] distinction[0] between[0] good[1] and[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when his partner is murdered on the day of his resignation , bud sets out to find the people responsible but unwittingly delved himself into something more than just a simple robbery murder . 	when his partner is murdered on the day of his resignation , bud sets out to find the people responsible but unwittingly delved himself into something more than just a simple robbery murder .	1	-4	 when[0] his[0] partner[0] is[0] murdered[-3] on[0] the[0] day[0] of[0] his[0] resignation[-1] bud[0] sets[0] out[0] to[0] find[0] the[0] people[0] responsible[0] but[0] unwittingly[0] delved[0] himself[0] into[0] something[0] more[0] than[0] just[0] a[0] simple[0] robbery[-1] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even after exley receives a promotion for his work on the murder case , happenings began to link itself to the murder . 	even after exley receives a promotion for his work on the murder case , happenings began to link itself to the murder .	1	-4	 even[0] after[0] exley[0] receives[0] a[0] promotion[0] for[0] his[0] work[0] on[0] the[0] murder[-3] case[0] happenings[0] began[0] to[0] link[0] itself[0] to[0] the[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the 3 eventually reach a point of convergence when what actually began as a personal investigation turns out to be an uncovering of a complex web of organised-crime in hollywood . 	the 3 eventually reach a point of convergence when what actually began as a personal investigation turns out to be an uncovering of a complex web of organised-crime in hollywood .	1	-2	 the[0] 3[0] eventually[0] reach[0] a[0] point[0] of[0] convergence[0] when[0] what[0] actually[0] began[0] as[0] a[0] personal[0] investigation[0] turns[0] out[0] to[0] be[0] an[0] uncovering[0] of[0] a[0] complex[0] web[0] of[0] organised[0] crime[-1] in[0] hollywood[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the last time i remember a film so clever and compelling was when i watched the usual suspects . 	the last time i remember a film so clever and compelling was when i watched the usual suspects .	1	-1	 the[0] last[0] time[0] i[0] remember[0] a[0] film[0] so[0] clever[0] and[0] compelling[0] was[0] when[0] i[0] watched[0] the[0] usual[0] suspects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in l . a . confidential , you do not get the shock and cleverness as the former but it has a lot more of  story' going for it . 	in l .<br> a .<br> confidential , you do not get the shock and cleverness as the former but it has a lot more of  story' going for it .	1	-3	 in[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] confidential[0] you[0] do[0] not[0] get[0] the[0] shock[-2] and[0] cleverness[0] as[0] the[0] former[0] but[0] it[0] has[0] a[0] lot[0] more[0] of[0] story'[0] going[0] for[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is not a single moment in the film in which i felt was slow at all . 	there is not a single moment in the film in which i felt was slow at all .	1	-1	 there[0] is[0] not[0] a[0] single[0] moment[0] in[0] the[0] film[0] in[0] which[0] i[0] felt[0] was[0] slow[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
surprisingly , though spacey did a very convincing job as the street-wise vincennes , the movie was carried mostly by the two rather  unknowns' , pearce and crowe . 	surprisingly , though spacey did a very convincing job as the street-wise vincennes , the movie was carried mostly by the two rather  unknowns' , pearce and crowe .	1	-1	 surprisingly[0] though[0] spacey[0] did[0] a[0] very[0] convincing[0] job[0] as[0] the[0] street[0] wise[0] vincennes[0] the[0] movie[0] was[0] carried[0] mostly[0] by[0] the[0] two[0] rather[0] unknowns'[0] pearce[0] and[0] crowe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pearce's exley is cool and calculative in his actions and there is a slight hint of val kilmer in his appearance . 	pearce's exley is cool and calculative in his actions and there is a slight hint of val kilmer in his appearance .	2	-1	 pearce's[0] exley[0] is[0] cool[1] and[0] calculative[0] in[0] his[0] actions[0] and[0] there[0] is[0] a[0] slight[0] hint[0] of[0] val[0] kilmer[0] in[0] his[0] appearance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
crowe's bud white is the most impressive of all ; head-strong and temperamental , he should obtain some sort of recognition for his work here . 	crowe's bud white is the most impressive of all ; head-strong and temperamental , he should obtain some sort of recognition for his work here .	2	-1	 crowe's[0] bud[0] white[0] is[0] the[0] most[0] impressive[1] of[0] all[0] head[0] strong[0] and[0] temperamental[0] he[0] should[0] obtain[0] some[0] sort[0] of[0] recognition[0] for[0] his[0] work[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
superb acting . , wonderful storytelling and one of the best climaxing gunfights ever . 	superb acting .<br> , wonderful storytelling and one of the best climaxing gunfights ever .	3	-2	 superb[0] acting[0] [[Sentence=-1,1=word max, 1-5]] wonderful[2] storytelling[0] and[0] one[0] of[0] the[0] best[1] climaxing[0] gunfights[-1] ever[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
easily the best hollywood piece for 1997 . 	easily the best hollywood piece for 1997 .	2	-1	 easily[0] the[0] best[1] hollywood[0] piece[0] for[0] 1997[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
