no film in recent has left me with such conflicted feelings as neil jordan's harrowing , humorous , horrifying adaptation of patrick mccabe's novel about young lad francie brady's ( eamonn owens ) descent into madness in 1960s ireland . 	Translation	Positive	Negative	EmotionRationale
on one hand , it was difficult for me to become invested in francie's story because he is such an unsavory character , unjustifyably venting his rage at his nosy but otherwise harmless neighbor mrs . nugent ( fiona shaw ) . 	on one hand , it was difficult for me to become invested in francie's story because he is such an unsavory character , unjustifyably venting his rage at his nosy but otherwise harmless neighbor mrs .<br> nugent ( fiona shaw ) .	2	-4	 on[0] one[0] hand[0] it[0] was[0] difficult[-1] for[0] me[0] to[0] become[0] invested[0] in[0] francie's[0] story[0] because[0] he[0] is[0] such[0] an[0] unsavory[-2] character[0] unjustifyably[0] venting[0] his[0] rage[-3] at[0] his[0] nosy[0] but[0] otherwise[0] harmless[1] neighbor[0] mrs[0] [[Sentence=-4,2=word max, 1-5]] nugent[0] fiona[0] shaw[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
on another hand , i found it difficult to laugh at some of francie's darkly comic shenanigans because he obviously is such a sick , needy child , having been raised by a drunken father ( stephen rea ) and a suicidal mother ( aisling o'sullivan ) . 	on another hand , i found it difficult to laugh at some of francie's darkly comic shenanigans because he obviously is such a sick , needy child , having been raised by a drunken father ( stephen rea ) and a suicidal mother ( aisling o'sullivan ) .	2	-2	 on[0] another[0] hand[0] i[0] found[0] it[0] difficult[-1] to[0] laugh[1] at[0] some[0] of[0] francie's[0] darkly[0] comic[0] shenanigans[0] because[0] he[0] obviously[0] is[0] such[0] a[0] sick[-1] needy[-1] child[0] having[0] been[0] raised[0] by[0] a[0] drunken[-1] father[0] stephen[0] rea[0] and[0] a[0] suicidal[0] mother[0] aisling[0] o'sullivan[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on yet another hand , i also found it difficult to completely sympathize with francie during his more emotional scenes because some of his , for lack of a better word , " bad " deeds are so incredibly shocking in their brutality and the malicious glee in which he performs them . 	on yet another hand , i also found it difficult to completely sympathize with francie during his more emotional scenes because some of his , for lack of a better word , " bad " deeds are so incredibly shocking in their brutality and the malicious glee in which he performs them .	1	-5	 on[0] yet[0] another[0] hand[0] i[0] also[0] found[0] it[0] difficult[-1] to[0] completely[0] sympathize[0] with[0] francie[0] during[0] his[0] more[0] emotional[-1] scenes[0] because[0] some[0] of[0] his[0] for[0] lack[-1] of[0] a[0] better[0] word[0] bad[-1] deeds[0] are[0] so[0] incredibly[0] shocking[-2][-2 LastWordBoosterStrength] in[0] their[0] brutality[-2] and[0] the[0] malicious[-3] glee[0] in[0] which[0] he[0] performs[0] them[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
however , the butcher boy's power is undeniable , and the film as a whole is unforgettable--perhaps because it is so disturbing . 	however , the butcher boy's power is undeniable , and the film as a whole is unforgettable-perhaps because it is so disturbing .	1	-2	 however[0] the[0] butcher[0] boy's[0] power[0] is[0] undeniable[0] and[0] the[0] film[0] as[0] a[0] whole[0] is[0] unforgettable[0] perhaps[0] because[0] it[0] is[0] so[0] disturbing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what makes it so unsettling is the francie's overall wink-wink yet matter-of-fact attitude about everything , expressed in a cheeky voiceover narration delivered by the adult francie ( rea again ) . 	what makes it so unsettling is the francie's overall wink-wink yet matter-of-fact attitude about everything , expressed in a cheeky voiceover narration delivered by the adult francie ( rea again ) .	1	-2	 what[0] makes[0] it[0] so[0] unsettling[-1] is[0] the[0] francie's[0] overall[0] wink[0] wink[0] yet[0] matter[0] of[0] fact[0] attitude[0] about[0] everything[0] expressed[0] in[0] a[0] cheeky[0] voiceover[0] narration[0] delivered[0] by[0] the[0] adult[0] francie[0] rea[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
think heavenly creatures played largely for laughs , and you'll sort of understand . 	think heavenly creatures played largely for laughs , and you'll sort of understand .	2	-1	 think[0] heavenly[1] creatures[0] played[0] largely[0] for[0] laughs[1] and[0] you'll[0] sort[0] of[0] understand[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
anchoring the whole film is the astonishing debut performance of owens ; love francie or hate him , you cannot take your eyes off of owens . 	anchoring the whole film is the astonishing debut performance of owens ; love francie or hate him , you cannot take your eyes off of owens .	3	-4	 anchoring[0] the[0] whole[0] film[0] is[0] the[0] astonishing[0] debut[0] performance[0] of[0] owens[0] love[2] francie[0] or[0] hate[-3] him[0] you[0] cannot[0] take[0] your[0] eyes[0] off[0] of[0] owens[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the butcher boy truly is a twisted , unusual film that is bound to make just about anyone uncomfortable . 	the butcher boy truly is a twisted , unusual film that is bound to make just about anyone uncomfortable .	2	-3	 the[0] butcher[0] boy[0] truly[1] is[0] a[0] twisted[0] unusual[0] film[0] that[0] is[0] bound[0] to[0] make[0] just[0] about[0] anyone[0] uncomfortable[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the lobby after the screening , i overheard one man raving about how great yet disturbing it was ; i also heard one particularly offended woman say with disgust , " that movie was so unfunny ! " 	in the lobby after the screening , i overheard one man raving about how great yet disturbing it was ; i also heard one particularly offended woman say with disgust , " that movie was so unfunny !<br> "	3	-4	 in[0] the[0] lobby[0] after[0] the[0] screening[0] i[0] overheard[0] one[0] man[0] raving[0] about[0] how[0] great[2] yet[0] disturbing[-1] it[0] was[0] i[0] also[0] heard[0] one[0] particularly[0] offended[-2] woman[0] say[0] with[0] disgust[-3] that[0] movie[0] was[0] so[0] unfunny[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " i didn't know what to expect . 	 " i didn't know what to expect .	1	-1	 i[0] didn't[0] know[0] what[0] to[0] expect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
